,Test_document,Expected_result,multinomial_model_7,multinomial_model_7_accuracy
20,e-commerc financi servic lend e-commerc financi servic lend smartbiz loan www.smartbizloans.com uniqu combin onlin sba loan marketplac bank enabl technolog platform smartbiz loan 1 onlin sba loan marketplac small busi loan intellig technolog platform make appli sba loan fast easi increas likelihood approv small busi match borrow sba prefer lend bank like fund particular busi 90 95 loan smartbiz refer bank partner get fund bank partner use smartbiz platform origin underwrit sba loan compliant manner also process loan 70 90 effici base financi district san francisco smartbiz loan privat held compani found 2009 team experienc financi servic entrepreneur back lead ventur capit firm includ investor growth capit venrock first round capit baselin ventur softtech vc,Others,Others,78.87323943661971
54,consum e-commerc search engin consum e-commerc search engin taodangpu e-commerc websit focus abandon pawn item pawnshop taodangpu ????? ? ? ? ? e-commerc websit focus abandon pawn item pawnshop help pawnshop display item make conveni consum understand search purchas item taodangpu subordin shanghai jade diamond e-commerc,Others,Others,78.87323943661971
93,consum lend financ financi servic fintech lend consum lend financ financi servic fintech lend chang way borrow safer faster better financi product avant oper onlin marketplac provid user access person loan consolid debt pay unexpect medic expens famili vacat use big data machine-learn algorithm compani offer custom approach streamlin credit option compani cater consum unit state unit kingdom headquart chicago illinoi avant found novemb 2012,Others,Others,78.87323943661971
184,financi servic financi servic mumbai-bas non-bank financi compani incr credit incred india use technolog data-sci make lend quick simpl hassle-fre incr offer broad portfolio product cut across afford home loan person loan educ loan sme busi loan incr found bhupind singh former head invest bank asia-pacif deutsch bank inform pleas visit www.incred.com,Others,Others,78.87323943661971
46,financi servic fintech financi servic fintech first data-driven asset base lender offer financ solut small mid-siz manufactur supplier distributor credit junction first data-driven asset base lend platform transform way small mid-siz busi access work capit growth suppli chain financ solut compani combin technolog data intellig tradit asset-bas credit metric offer 5 million capit avail credit junction target growth-ori supplier distributor manufactur typic revenu 2m 25m financ compani provid help small busi access capit need also stimul job creation bolster communiti develop local town citi region across us canada,Others,Others,78.87323943661971
132,"financ fintech person financ financ fintech person financ peerform peer-to-p lend platform connect lender borrow fixed-r person loan peerform peer-to-p lend platform connect peopl want borrow money investor peerform provid 3-year term person loan rang 1,000 25,000 borrow creat list fixed-r person loan fund investor chose target return build portfolio peerform offer investor new asset class diversifi optim portfolio peer-to-p lend altern bank system provid better interest rate borrow along better return investor elimin intermedi parti peerform creat solid team profession financi servic strategi consult technolog consum product",Others,Others,78.87323943661971
178,credit financi servic credit financi servic innov onlin credit solut provid immedi relief custom today help build brighter financi futur elev 's onlin credit solut provid immedi relief custom today help build brighter financi futur commit reward borrowers??? good financi behavior featur like lower interest rate free financi train free credit monitor,Others,Others,78.87323943661971
28,credit crowdfund crowdsourc financ financi servic fintech credit crowdfund crowdsourc financ financi servic fintech raisework oper onlin direct lend platform connect small privat busi institut lender raisework oper onlin direct lend platform connect small busi institut lender look lend direct privat busi improv small busi access capit leverag technolog lower cost custom acquisit loan applic process result dramat acceler application-to-fund cycl institut lender raisework open door opportun invest direct credit-worthi privat busi earn stabl attract return,Others,Others,78.87323943661971
248,commerci lend credit financi servic small medium busi commerci lend credit financi servic small medium busi camino financi community-bas lender latino-own busi unmet credit demand 6.8 billion u.s. camino financi community-bas lender latino-own busi unmet credit demand 6.8 billion u. compani built loan product educ experi help busi improv financi perform graduat lower interest rate longer term loan,Others,Others,78.87323943661971
158,custom servic onlin portal payment custom servic onlin portal payment buy pay later solut india epaylat found decemb 2015 aurko bhattacharya prasannaa murlidharan uday somayajula shanmunathan thiagaraja saxena compani give custom option ???buy pay later??? onlin portal one click custom get 14 day make payment within period make mani transact via single-click checkout bunch togeth make singl payment end period,Others,Others,78.87323943661971
17,credit financ credit financ contigo financi facilit web-bas platform provid employe financi product short-term loan contigo disrupt subprim lend industri offer innov financi product least access partner employ provid socially-respons short-term low-cost loan offer benefit employe lack strong credit histori credit extend employe robust web-bas platform proprietari underwrit model contigo graduat jumpstart foundri acceler program winner vanderbilt univers 's sohr grant startup,Others,Others,78.87323943661971
225,"agricultur farm financi servic agricultur farm financi servic nongfenqi rural internet financ servic platform nongfenqi rural internet financ servic platform.run nanj nongfenqi e-commerc co. ltd. provid instal payment servic larg farm group collabor commune agricultur equip purchas compani provid servic 20,000 client far report ad",Others,Others,78.87323943661971
233,financi servic financi servic tech-en consum lend platform organ around provid superior valu experi borrow name say provid person loan give custom lowest rate possibl perk end spend less give *borrowersfirst borrowersfirst.com borrowersfirst logo connectedcredit trademark borrowersfirst inc. delawar corpor,Others,Others,78.87323943661971
33,financ fintech financ fintech quarterspot onlin lend platform offer small busi work capit quarterspot onlin lend platform offer credit-starv small busi work capit attract rate term acceler access capit use advanc technolog enabl instant underwrit approv same-day close repay investor littl 24 hour contact info quarterspot.com inform,Others,Others,78.87323943661971
222,develop platform financi servic wealth manag develop platform financi servic wealth manag onlin wealth manag platform guangzhou wanhui jinkong technolog co. ltd. own oper onlin peer-to-p lend platform compani found 2012 base guangzhou china,Others,Others,78.87323943661971
