,domain_name,Test_document,Expected_result,knn_model_5,knn_model_5_accuracy
190,geostellar.com,analyt big data biofuel clean energi geospati locat base servic solar analyt big data biofuel clean energi geospati locat base servic solar geostellar solar energi marketplac patent platform instant interact tailor equip financ instal geostellar appli big-data geomat comput precis renew resourc potenti infrastructur capac econom polici impact clean tech project subscript servic platform solar wind biofuel energi produc identifi optim site project market properti owner arrang financ coordin deploy support complex queri across everi rooftop field lot unit state,Mortgages,Mortgages,79.45205479452055
42,pierup.com,app big data mobil app big data mobil pier instant painless consum financ checkout us chines consum pier financi technolog compani focus develop technolog solut enabl custom transact mobil phone offer servic unit state china pier offer applic enabl custom access servic pier headquart san francisco offic shanghai china found richard jia juli 2014,Others,Credit rating platforms,79.45205479452055
149,meettally.com,credit card financi servic fintech mobil app credit card financi servic fintech mobil app talli solv problem custom manag multipl credit card talli found 2015 team credit expert engin design believ better credit card experi consum talli first app unbundl credit card put power back hand consum talli consum use credit card without unfair apr cost fee hassl manag multipl card inform visit meettally.com,Others,Others,79.45205479452055
200,numberz.in,financi servic financi servic numberz realis run busi sure commend task numberz realis run busi sure commend task mani time understand manag one critic resourc cash flow becom daunt excercis 's numberz endevour help number liter continu pursu dream,Others,Others,79.45205479452055
189,medmonk.com,health care health care help pharmacist obtain fund patient afford out-of-pocket pharmaceut expens medmonk base premis 's everyon 's best interest medic use regardless price patient get care medic need insur protect larger claim pharmaceut compani pharmaci get maximum use medic co-found somaira punjwani hiv specialti pharmacist invent process altern turn away patient struggl co-pay manual three year overwhelm posit feedback grate patient could afford medic,Others,Others,79.45205479452055
44,openbookben.com,financ publish ventur capit financ publish ventur capit open book ben altern tradit busi credit bureau open book ben altern tradit busi credit bureau build on-lin communiti small medium-s busi `` '' smbs '' '' collabor share creditworthi busi intellig system beta sever financi institut compani use feedback ben democrat access creditworthi type import busi data smbs struggl near everi aspect busi credit exist credit bureaus often fail score smbs accur small firm even show databas sinc afford solut busi credit data smbs suffer huge write off 64 billion last year ben solut problem discuss platform attract altern credit bureaus ben also offer power market lead gen tool also offer greatly-need smb suppli chain tool `` '' vendor worth '' '' score help smbs assess qualiti b2b vendor,Credit rating platforms,Others,79.45205479452055
299,getsimpl.com,fintech payment fintech payment simpl 's mission make money simpl peopl live well amaz thing simpl??? mission make money simpl peopl live well amaz thing simpl??? first product payment option let skip pay repeat instead pay later multipl order one go multipl verif payment failur fumbl chang order arriv,Others,Others,79.45205479452055
197,p2bi.com,crowdfund financ fintech crowdfund financ fintech p2binvestor crowdfund receiv financ compani oper invest platform small- mid-siz busi crowdfund meet receiv financ cheaper flexibl altern loan grow busi mani grow busi great idea rapid growth often accompani slow-pay custom subsequ cash-flow issu bank often lend busi without sever year oper histori profit today larg compani love buy smaller innov busi trend toward longer payment term put supplier compani financi bind p2binvestor help small medium-s busi solv issu thrive increas complex busi fund environ suppli work capit grow businesses-secur company??? receivables?? ? competit rate borrow asset-back lend factor crowdfund model function like revolv line credit fund investor crowd interest help busi creat job fuel economi earn fair return,Others,Others,79.45205479452055
29,zidisha.org,micro lend non profit social entrepreneurship micro lend non profit social entrepreneurship zidisha microlend communiti direct connect lender borrow platform zidisha peer-to-p lend servic connect individu lender direct microfin borrow low-incom countri zidisha base convict small-scal entrepreneur develop countri capabl interact respons peer-to-p lender via self-regul web platform without need local intermediari communic manag loan transact behalf though microlend websit allow individu contribut fund toward microloan choic reli local microfin organ communic lender creat loan applic collect repay intermedi microlend platform communic one way borrow often unawar lender fund loan averag intermediari organ add 30 sometim much 100 fee interest loan rais websit cover administr expens high interest rate reduc borrow profit sometim point make poorer receiv loan unlik post microlend platform loan applic comment post zidisha 's loan page written borrow open way dialogu lender borrow lender receiv answer inquiri loan busi direct entrepreneur fund elimin unnecessari intermediari also decreas cost loan averag zidisha borrow pay 8 flat rate annual interest fee includ interest paid lender far rate tradit charg microfin loan develop countri reduc interest cost allow entrepreneur keep profit loan greater impact reduc poverti,Micro Finance ,Others,79.45205479452055
186,finlocker.com,financi servic financi servic finlock consumer-en ???nancial locker reduc cost risk lender via action ???nancial inform finlock financi servic technolog innov found team season veteran lead execut across financi servic technolog industri time consum financi servic industri face heighten regulatori scrutini innov solut need ever finlock offer solut capabl improv loan process origin servic even beyond,Loan management platform,Others,79.45205479452055
107,crowdoutcapital.com,bank financ marketplac bank financ marketplac onlin marketplac connect accredit investor middle-market debt,Others,Others,79.45205479452055
312,creditsudhaar.com,financi servic financi servic credit sudhaar credit health manag compani review credit score individu help improv credit sudhaar onlin platform provid client credit advisori servic also offer financi product custom match users??? credit profil credit sudhaar provid client various credit financi tool free credit score credit score simul wide rang analyt assess help in-depth understand current credit status headquart mumbai maharashtra credit sudhaar offic bangalor kolkata found gaurav wadhwani arun ramamurthi 2010,Credit rating platforms,Others,79.45205479452055
169,zestfinance.com,analyt big data fintech machin learn analyt big data fintech machin learn zestfinance??? credit-decis platform help lender predict credit risk increas revenu reduc risk ensur complianc zestfin found world??? best data scientist mission use machin learn algorithm revolution credit decis made provid fair transpar credit everyon zest autom machin learn zaml??? platform zest 's uniqu credit-decis platform enabl lender analyz vast amount non-tradit credit data increas approv rate reduc risk credit decis particular thin-fil no-fil borrow like millenni platform also provid abil explain data model result measur busi impact compli regulatori requir,Credit rating platforms,Credit rating platforms,79.45205479452055
177,loandepot.com,"financ financi servic real estat financ financi servic real estat loandepot independ retail mortgag lender provid residenti loan resid u.s. loandepot third largest privat independ retail mortgag lender u.s. provid residenti loan loandepot??? current busi channel includ direct lend affin branch retail servic innov onlin consum direct lend platform oper loandepot brand compani also leader distribut branch purchas platform imortgag brand loandepot current 2,200 employe 700 licens loan offic serv 50 state licens 50 state loandepot approv seller/servic fanni mae freddi mac ginni mae servic major loan origin product lineup includ fha harp va jumbo loan compani open door busi 2010 follow u.s. financi meltdown found principl fair ethic lend customer-centr strategi deliv great servic competit rate loandepot??? ceo chairman industri veteran anthoni hsieh innov mortgag lend industri loandepot leadership team compris season execut help lead largest success mortgag compani financi institut u.",Mortgages,Mortgages,79.45205479452055
327,loquidity.com,real estat real estat loquid offer accredit intern investor curat local sourc real estat invest opportun loquid membership-bas platform offer accredit intern investor curat local sourc real estat invest opportun midwest marketplac crowd-sourc real estat invest take middlemen help sponsor fund project loquid member view pre-vet deal learn specif invest track progress onlin investor dashboard receiv email updat deal access q forum deal includ inform estim annual return project length invest properti locat inform market analysi profil primari parti involv invest loquid launch 2014 oper base michigan unit state,Others,Others,79.45205479452055
68,assetavenue.com,e-commerc marketplac real estat e-commerc marketplac real estat assetavenu onlin lender real estat invest properti assetavenu los angeles-bas onlin lender use technolog improv way peopl borrow money real estat invest properti innov onlin platform proprietari data model enabl us deliv new benchmark speed transpar flexibl tradit bank ca n't compet fund loan institut capit matter day assetavenu back world 's lead vc firm includ dcm ventur matrix partner neteas capit name one top 10 lend start-up watch 2014 featur numer public includ wall street journal entrepreneur inc forb,Others,Others,79.45205479452055
326,loancircle.in,financi servic lend financi servic lend loancircl provid peopl quick access loan best possibl rate suit person loancircl aspir disrupt redefin way lend done india onlin platform empow peopl want better speedier altern exist financ channel far underserv channel go beyond convent credit score consid person 's educ work experi expect career growth 1000 data point evalu loan applic data driven underwrit model let us identifi high qualiti borrow help lender platform make good return invest,Others,Others,79.45205479452055
113,earnest.com,bank consum lend credit financi servic fintech bank consum lend credit financi servic fintech re build modern bank next generat base san francisco earnest technology-en lend compani use data scienc design softwar autom rebuild financi servic solut enabl custom renegoti loan repay amount interest rate exist loan compani evalu financially-respons people??? full educ employ financi profil base credit score reward better rate person loan student loan refinanc addit offer onlin dashboard give client tool need easili control custom loan payment compani establish 2013,Education Loans ,Others,79.45205479452055
293,kabbage.com,credit financ fintech lend credit financ fintech lend kabbag financi technolog compani fulli autom technolog data platform power lend direct partner kabbag inc. financi technolog data compani pioneer new autom way lend money small busi consum compani simplifi manual applic process one 100 onlin autom busi consum use data submit applic onlin receiv immedi decis access fund spot kabbag leverag data generat revenu account data busi transact ship data social media sourc understand business??? overal health calcul credit line throughout custom lifecycl compani began make first loan onlin merchant 2011 extend lend small busi ?? ? onlin brick-and-mortar ?? ? februari 2014 novemb 2013 kabbag expand busi mobil io android app enabl user appli access fund smartphon kabbag 's first expans technolog data platform launch karrot person loan 2014 karrot fulli autom person loan product verifi 100 person??? incom karrot also provid immedi answer access fund soon next day kabbag expand applic platform march 2015 licens data technolog platform power lend organ compani name one forb magazine??? promis compani list second year row kabbag extend lend reach may 2015 announc new kabbag card give busi abil pay item point sale purchas card tie kabbag account kabbag also collabor mastercard may 2015 make kabbage??? data technolog platform avail mastercard??? network acquir august 2015 kabbag name 36th fastest-grow privat compani america inc. 500 list octob 2015 kabbag complet seri e fund round 135 million led rever capit partner holland???s? ing spain???s? santander? via innoventur santand 's ventur capit arm canada???s? scotiabank? also particip round kabbag also announc strateg partnership ing? deliv instant capit small busi throughout spain june 2016 kabbag name cnbc 's annual disruptor 50 list forward-think ambiti compani revolution industri market worldwid two month later kabbag name inc. 500 list countri 's fastest-grow privat compani second year row august 2016 kroll bond rate agenc kbra upgrad affirm rate class a2-2 certif issu kabbag fund 2014-1 resecur trust certif upgrad bbb+ sf a- sf base structur improv transaction??? concentr requir exist histor data relat kabbage??? collater kbra also affirm rate class b2a certif bb- sf class b2b certif bb- sf class b2c certif b+ sf initi rate novemb 2015,Others,Others,79.45205479452055
212,zebit.com,e-commerc internet payment e-commerc internet payment zebit grant no-cost credit hardwork american without interest fee credit check zebit grant no-cost credit hardwork american without interest fee credit check due cash constraint lack credit access consum typic turn high-cost off-lin financ method payday loan rent-to-own in-stor financ payment total 3 time purchas valu zebit??? payment platform first grant real-tim no-cost credit-check 0 apr financ shop million product pay time combin consum incom data sophist risk analyt allow member shop million name brand product close marketplac zebit provid benefit internet commerc product select lower price mobile-shop conveni disrupt 25 billion high-cost off-lin instal financ industri,Others,Others,79.45205479452055
198,liftforward.com,"credit financi servic marketplac credit financi servic marketplac liftforward oper marketplac loan platform provid loan small busi liftforward oper marketplac loan platform provid loan small busi high yield debt product investor busi abl borrow 1,000,000 per transact asset purchas purchas order financ work capit liftforward partner supplier retail manufactur order provid financ small busi custom liftforward partnership includ co-brand white-label portal",Others,Others,79.45205479452055
289,iqianbang.com,asset manag financi servic lend asset manag financi servic lend iqianbang help make money onlin invest financi platform invest financi user loan user iqianbang help make money onlin invest financi platform invest financi user loan user end provid fair transpar safe effici network loan manag servic,Working Capital ,Others,79.45205479452055
356,trustleaf.com,financ financi servic person financ financ financi servic person financ trustleaf onlin platform enabl early-stag entrepreneur crowdfund ventur friend famili trustleaf onlin platform enabl early-stag entrepreneur crowdfund ventur friend famili small busi owner leverag social capit rais capit lender also get legal protect loan famili member??? word trustleaf offer featur auto-gener custom promissori note onlin signatur email remind updat repay quick loan builder trustleaf launch august 2013 anson liang daniel lieser base sunnyval california usa,Others,Others,79.45205479452055
110,loannow.com,consum lend financ financi servic fintech person financ consum lend financ financi servic fintech person financ mission help good peopl get better loan sinc launch 2013 loannow help peopl bring access transpar fair subprim lend industri time help borrow understand use credit build repay histori credit file incentiv good borrow behavior mission help good peopl get better loan,Others,Others,79.45205479452055
288,lendkey.com,consum lend financ fintech consum lend financ fintech lendkey technolog develop cloud-bas platform connect lender borrow facilit onlin lend loan lendkey financi technolog compani creat white-label lend solut transform financi institut profit digit lend busi compani manag entir lend process includ demand generat onlin decis loan origin custom servic balanc sheet manag base new york cincinnati compani found 2009,Education Loans ,Others,79.45205479452055
203,ximucredit.com,analyt big data credit analyt big data credit ximu credit util big data understand consum credit worthi ximu credit util big data understand consum credit worthi help make loan decis base risk analysi price model,Credit rating platforms,Credit rating platforms,79.45205479452055
178,airfordable.com,financi servic fintech travel financi servic fintech travel payment plan flight departur airford payment plan airlin ticket airford allow user secur ticket deposit upfront pay remain balanc bi-week recur payment departur date,Others,Others,79.45205479452055
147,fundthatflip.com,crowdfund fintech real estat real estat invest residenti crowdfund fintech real estat real estat invest residenti access real estat invest fund flip u.s.-bas technolog platform facilit financ residenti redevelop project provid basic screen due dilig redevelop project made avail platform accredit investor fund flip??? invest product borrow depend note allow platform pool investors??? capit togeth keep transact straightforward redevelop investor found 2014 fund flip use invest develop technolog expand platform help real estat develop provid new hous modern distress home,Others,Others,79.45205479452055
180,incred.com,financi servic financi servic mumbai-bas non-bank financi compani incr credit incred india use technolog data-sci make lend quick simpl hassle-fre incr offer broad portfolio product cut across afford home loan person loan educ loan sme busi loan incr found bhupind singh former head invest bank asia-pacif deutsch bank inform pleas visit www.incred.com,0,Others,79.45205479452055
