,domain_name,Test_document,Expected_result,decision_model_2,decision_model_2_accuracy
83,dealstruck.com,financ financi servic local busi marketplac financ financi servic local busi marketplac dealstruck best place small busi financ growth dealstruck lend marketplac connect profit small- medium-s busi individu institut accredit investor unlik one-size-fits-al approach offer bank high-cost short-term credit offer altern lender dealstruck provid patient growth capit allow busi time plan execut maximum success dealstruck first combin thorough credit screen busi borrow allow investor freedom choos specif invest build custom portfolio meet prefer risk return industri size,Others,Others,68.4931506849315
195,lendio.com,financ financi servic fintech lend financ financi servic fintech lend lendio platform help small busi owner find lender secur loan lendio oper onlin marketplac enabl small busi owner find lender secur loan fill applic form platform match custom suitabl loan option work network 50 lender enabl user compar choos among rang loan includ sba startup equip commerci real estat also offer loan calcul inform blog educ resourc launch march 2006 lendio base south jordan utah,Others,Education Loans ,68.4931506849315
313,crowdfundingalliantie.nl,internet internet larg number onlin crowdfund platform go want compani take advantag crowdfund larg number onlin crowdfund platform go want compani take advantag crowdfund cours arrang everyth good campaign much easier get market around crowdfund hand specialist lot knowledg experi,Others,Others,68.4931506849315
8,lendinero.com,financ fintech financ fintech lendinero compani provid short term alternative-fund small medium size exist busi lendinero ventur capit firm provid short-term fund solut smes ancillari servic assist client view manag account cloud addit firm offer rang financi solut smes includ lendireno loan merchant cash advanc loan sba loan addit firm also carri advisori servic assist client obtain financ lendinero found 2011 gil zapata base florida,Others,Others,68.4931506849315
278,cignifi.com,financ fintech financ fintech cignifi data monet startup develop analyt platform deliv credit market score use mobil behavior data cignifi revolution way financi servic compani meet need 2.7 billion peopl worldwid mobil phone access formal financi servic compani develop first proven analyt platform deliv credit market score consum use mobil phone behavior data,Credit rating platforms,Credit rating platforms,68.4931506849315
1,apnapaisa.com,credit financ internet marketplac credit financ internet marketplac apnaloan onlin marketplac provid home loan person loan credit card custom india apnaloan onlin marketplac home loan person loan credit card india idea apnaloan bank compet loan turn mean get better rate compani say apnaloan `` largest onlin marketplac loan credit card '' http //www.dialabank.com/emi-calculator.cfm,Others,Others,68.4931506849315
20,smartbizloans.com,e-commerc financi servic lend e-commerc financi servic lend smartbiz loan www.smartbizloans.com uniqu combin onlin sba loan marketplac bank enabl technolog platform smartbiz loan 1 onlin sba loan marketplac small busi loan intellig technolog platform make appli sba loan fast easi increas likelihood approv small busi match borrow sba prefer lend bank like fund particular busi 90 95 loan smartbiz refer bank partner get fund bank partner use smartbiz platform origin underwrit sba loan compliant manner also process loan 70 90 effici base financi district san francisco smartbiz loan privat held compani found 2009 team experienc financi servic entrepreneur back lead ventur capit firm includ investor growth capit venrock first round capit baselin ventur softtech vc,Others,Others,68.4931506849315
275,ziploan.in,financi servic lend small medium busi financi servic lend small medium busi ziploan onlin lend platform ziploan rbi regist nbfc technolog enabl on-lin lend platform establish provid small busi loan small busi loan segment ignor financi institut given granular peculiar small busi poor cost benefit trade-off respect sourc underwrit small loan,Others,Others,68.4931506849315
184,greenskycredit.com,consum lend credit financi servic consum lend credit financi servic greenski offer fast paperless solut financi servic busi size easi way offer financ everyon anywher easi busi size offer credit custom fast paperless solut,Others,Others,68.4931506849315
266,qupital.com,marketplac onlin portal trade platform marketplac onlin portal trade platform qupit digit trade marketplac buyer seller corpor receiv qupit digit trade marketplac buyer seller corpor receiv,Others,Others,68.4931506849315
18,communitysourcedcapital.com,crowdfund fintech crowdfund fintech communiti sourc capit build innov financi system communiti start communiti sourc capit year research call sustain financ focus singl question financi system design strengthen communiti compani grown idea robust communiti lend system ve expand outsid pacif northwest attract investor want help busi grow recruit talent team member divers background they???r energet passion group do-it-al person background small busi manag socially-respons invest web technolog grassroot market fundrais week basi you???ll find us engag direct small busi owner hang innov bank partner scout new communiti might one day lucki enough work,Others,Others,68.4931506849315
288,lendkey.com,consum lend financ fintech consum lend financ fintech lendkey technolog develop cloud-bas platform connect lender borrow facilit onlin lend loan lendkey financi technolog compani creat white-label lend solut transform financi institut profit digit lend busi compani manag entir lend process includ demand generat onlin decis loan origin custom servic balanc sheet manag base new york cincinnati compani found 2009,Education Loans ,Micro Finance ,68.4931506849315
180,incred.com,financi servic financi servic mumbai-bas non-bank financi compani incr credit incred india use technolog data-sci make lend quick simpl hassle-fre incr offer broad portfolio product cut across afford home loan person loan educ loan sme busi loan incr found bhupind singh former head invest bank asia-pacif deutsch bank inform pleas visit www.incred.com,0,Education Loans ,68.4931506849315
