,domain_name,Test_document,Expected_result,knn_model_0,knn_model_0_accuracy
155,ascendloan.com,consum research credit financi servic consum research credit financi servic proprietari process call adapt risk price ascend empow consum prove real-tim creditworthi proprietari process call adapt risk price ascend empow consum prove real-tim creditworthi,Personal loans,Others,50.68493150684932
165,creditkey.com,e-commerc financi servic payment e-commerc financi servic payment credit key patent pay-over-tim financ solut e-commerc merchant credit key patent pay-over-tim financ solut e-commerc merchant,Purchase Financing ,Purchase Financing ,50.68493150684932
96,skills.fund,consum lend educ financ consum lend educ financ skill fund student financ qualiti assur platform outcomes-bas skill train program goal simpl want build best financ tool best bootcamp student put togeth team leader student lend higher educ consum protect see great potenti bootcamp bring learn communiti student benefit great approach school,Others,Others,50.68493150684932
202,lendinghome.com,financi servic marketplac real estat financi servic marketplac real estat lendinghom offer flexibl simpl fast transpar reliabl way borrow get mortgag `` silicon valley reimagin mortgag process ground right way '' ask question late 2013 realiz mortgag broken hard believ industri massiv vital import economi could continu function virtual innov decid fix lendinghom born brought togeth best technolog oper data build next generat mortgag platform meant rethink custom acquisit user experi credit analysi algorithm underwrit oper effici loan servic capit market financi autom consum brand fundament believ technology-en marketplac bring togeth borrow investor futur mortgag combin platform world-class entrepreneuri team ve made futur realiti welcom lendinghom,Term loans,Others,50.68493150684932
23,instorefinance.com,financ saa softwar financ saa softwar instorefinance.com? offer softwar program allow retail store increas sale financ custom via onlin payment portal instor financ financ platform allow merchant financ custom purchas merchant use program longer lose big ticket sale custom n't money product ve care pick often happen custom n't qualifi tradit financ manag paperwork instal store cash check send month merchant work instor financ generat extra sale loyal custom sinc get tell `` re approv '',Purchase Financing ,Purchase Financing ,50.68493150684932
92,gkkxd.com,consum lend financi servic fintech payment consum lend financi servic fintech payment kaixindai p2p lend platform kaixindai peer-to-p lend platform provid network invest financ servic client found 2012 compani base nanj jiangsu,Working Capital ,Personal loans,50.68493150684932
273,applieddatafinance.com,credit financ financi servic credit financ financi servic adf purpose-built optim link underestim underbank consum capit market adf purpose-built optim link underestim underbank consum capit market,Others,Others,50.68493150684932
232,better.com,"financ financi servic lend financ financi servic lend re make mortgag fast simpl total better better re make get mortgag fast simpl total better offic nyc re revolution 13 trillion industri american pay hous almost els combin ?? ? 33 person consumpt expenditur yet somehow mortgag process still take near 50 day cost 5,000 administr fee requir 225 page paper endless phone call commiss loan broker think insan ?? ? we???r fix team combin lead technologist compani like spotifi googl mortgag bank three generat experi togeth we???r use data scienc machin learn ux design make mortgag experi ?? ? enjoy excit part biggest transact americans??? live",Others,Others,50.68493150684932
113,earnest.com,bank consum lend credit financi servic fintech bank consum lend credit financi servic fintech re build modern bank next generat base san francisco earnest technology-en lend compani use data scienc design softwar autom rebuild financi servic solut enabl custom renegoti loan repay amount interest rate exist loan compani evalu financially-respons people??? full educ employ financi profil base credit score reward better rate person loan student loan refinanc addit offer onlin dashboard give client tool need easili control custom loan payment compani establish 2013,Others,Others,50.68493150684932
355,trustio.in,financi servic financi servic trustio newdelhi-bas peer-to-p lend compani trustio person financi secur net trustio tri creat close alumni communiti member rais money alumni time need varieti reason invest money peer help well make decent return invest,Personal loans,Personal loans,50.68493150684932
