,Test_document,Expected_result,decision_model_0,decision_model_0_accuracy
37,crowdfund financ fintech crowdfund financ fintech earlyshar real estat crowdfund platform connect return-driven commerci real estat invest earlyshar crowdfund platform connect individu investor curat select vet return-driven real estat invest offer compliant platform investor gain direct access opportun growth compani real estat project invest fund investor either invest passiv owner equiti opportun brought forward sponsor loan origin institut lender earlyshar launch 2011 base miami florida,Term loans,Others,40.845070422535215
36,bank credit financi servic bank credit financi servic yooli network secur compani aim provid protect investor safeguard financi profession yooli cooper 23 offlin micro-credit compani offer investor access loan origin mani smaller p2p platform order build trust confid yooli partner third parti assess credit qualiti individu loan,Term loans,Lead generation platform,40.845070422535215
71,crowdfund financ fintech internet lend real estat crowdfund financ fintech internet lend real estat pofland crowdfund solut real estat financ bring togeth borrow lender simpl onlin interfac patch land real estat marketplac lender use proprietari technolog data provid transpar scalabl effici lend solut patch land offer borrow access reliabl capit residenti commerci real estat project provid investor easi diversif real estat low minimum best-in-class secur loan structur,Term loans,Others,40.845070422535215
269,financ fintech govtech impact invest softwar financ fintech govtech impact invest softwar neighbor modern access public financ 1 billion dollar per day market fund vital public project like school park neighbor modern access public financ multi-trillion dollar market fund vital public project like school park librari road next-gener public project neighborhood microgrid investor neighbor deliv direct access high-qual world-posit invest opportun issuer neighbor provid platform borrow 's need 's need public project,Term loans,Term loans,40.845070422535215
30,"credit financ financi servic credit financ financi servic renrendai beijing-bas compani provid p2p financi servic loan debt invest other renrendai beijing-bas compani provid p2p platform financi servic loan debt invest other target white-collar employe small busi owner custom charg borrow manag fee 0.3 borrow money servic fee 5 high-risk borrow return renrendai.com loan 10 18 higher 3.25 offer one year turn deposit bank compani also control default risk measur borrow incom occup asset famili connect renrendai found may 2010 current servic network cover 2,000 region transact capit third quarter 2013 report us 81.2 million",Term loans,Lead generation platform,40.845070422535215
199,financ financi servic fintech lend financ financi servic fintech lend lendio platform help small busi owner find lender secur loan lendio oper onlin marketplac enabl small busi owner find lender secur loan fill applic form platform match custom suitabl loan option work network 50 lender enabl user compar choos among rang loan includ sba startup equip commerci real estat also offer loan calcul inform blog educ resourc launch march 2006 lendio base south jordan utah,Term loans,Term loans,40.845070422535215
309,financi servic financi servic ascentium capit independ equip financ compani ascentium capit llc special provid broad rang financ leas work capit loan compani 's offer benefit equip manufactur distributor well direct busi nationwid,Term loans,Working Capital ,40.845070422535215
267,commerci real estat marketplac real estat commerci real estat marketplac real estat money360 revolutionari onlin marketplac commerci real estat loan money360 revolutionari onlin marketplac commerci real estat loan money360 enabl borrow direct access afford commerci real estat loan innov onlin lend platform elimin overhead process cost associ tradit bank model loan fund bank insur compani pension fund accredit investor revolutionari onlin marketplac enabl borrow obtain competit rate flexibl term effici servic enabl investor receiv better return offer tradit invest vehicl,Term loans,Term loans,40.845070422535215
366,welcom invest crowd-fund platform,Term loans,Personal loans,40.845070422535215
69,financ fintech peer peer financ fintech peer peer ppdai onlin platform peer-to-p small unsecur loan china ppdai onlin platform peer-to-p small unsecur loan china build safe high-perform honest network platform creativ technolog ideal ppdai standard person behavior debit credit bring return lender borrow ppdai found august 2007 founder well known compani,Term loans,Personal loans,40.845070422535215
8,financ fintech financ fintech lendinero compani provid short term alternative-fund small medium size exist busi lendinero ventur capit firm provid short-term fund solut smes ancillari servic assist client view manag account cloud addit firm offer rang financi solut smes includ lendireno loan merchant cash advanc loan sba loan addit firm also carri advisori servic assist client obtain financ lendinero found 2011 gil zapata base florida,Term loans,Purchase Financing ,40.845070422535215
325,mortgagehippo design bring simplic transpar effici otherwis complic home loan process,Term loans,Personal loans,40.845070422535215
241,"credit financ fintech small medium busi credit financ fintech small medium busi abl lowest-cost onlin lender small busi loan nation partner network provid loan 25k- 1mm abl lowest-cost onlin lender small busi nation passion fund busi stage new kind loan let borrow get capit lower rate recruit support friend famili fan averag able??? borrow save 31,000 loan 25,000 1,000,000 abl ???more loan.??? connect extraordinari entrepreneur addit capit communiti resourc expert advic it??? time grow learn nomin favorit busi get pre-approv 1 minut visit www.ablelending.com",Term loans,Term loans,40.845070422535215
220,bank content syndic financ bank content syndic financ loanstreet marketplac enabl effici syndic loan loan pool loanstreet new marketplac enabl effici syndic size loan loanstreet autom standard syndic origin matur enabl lender investor buy sell manag loan direct websit,Lead generation platform,Working Capital ,40.845070422535215
120,e-commerc e-commerc platform marketplac e-commerc e-commerc platform marketplac credit nation india 's lead onlin marketplac provid easi comparison best interest rate loan credit nation india 's lead onlin marketplac provid easi comparison best interest rate loan great custom servic,Lead generation platform,Personal loans,40.845070422535215
90,financi servic internet lend financi servic internet lend small busi owner 's best friend fundera place small busi owner go need fund grow busi free easi fast honest industri known opposit fundera strive break mold univers applic marketplac model let busi owner skip ???feel lost??? moment focus realli matters?? ? build busi one simpl applic small busi owner appli industry??? lead lender let compar rate across differ kind loan re alway hire intellig invest passion peopl join team check us fundera.com/job,Lead generation platform,Working Capital ,40.845070422535215
52,"financi servic internet marketplac financi servic internet marketplac biz2credit hub connect small busi owner lender servic provid seek solut base onlin profil biz2credit www.biz2credit.com connect small busi owner lender servic provid thus empow effect compet big compani enhanc servic product grow enterpris biz2credit match small busi credit solut base onlin profil complet less five minut safe effici price-transpar environ biz2credit network consist 50,000 user 300 lender credit rate agenc equifax broker includ bizbuysel major small busi servic provid hp biz2credit top financ resourc entrepreneur magazin 2009 compani process 3,000 loan applic month facilit 400 million fund sinc 2007 registr free howev biz2credit also offer vari level subscript servic includ phone support case manag assist borrow entir lend process start initi applic form end day loan close biz2credit recent introduc free bizanalyzer??????? app android http //bit.ly/hlmwbl use inform credit rate agenc dun bradstreet bizanalyz provid free financi check-up small busi owner make loan applic process effici enabl borrow download review credit score tool benchmark risk assess small busi owner lend criteria 300 financi institut risk profil industri peer factor credit rate ultim impact credit decis lender biz2credit suggest best loan option possibl",Lead generation platform,Working Capital ,40.845070422535215
310,bankbazaar world 's first neutral onlin marketplac instant customis rate quot loan credit card,Lead generation platform,Personal loans,40.845070422535215
