,Test_document,Expected_result,decision_model_8,decision_model_8_accuracy
192,financi servic onlin auction peer peer financi servic onlin auction peer peer firstp2p chines onlin peer-to-p p2p financ site first p2p limit onlin financ marketplac match borrow investor compani base china,Term loans,Lead generation platform,36.61971830985916
199,financ financi servic fintech lend financ financi servic fintech lend lendio platform help small busi owner find lender secur loan lendio oper onlin marketplac enabl small busi owner find lender secur loan fill applic form platform match custom suitabl loan option work network 50 lender enabl user compar choos among rang loan includ sba startup equip commerci real estat also offer loan calcul inform blog educ resourc launch march 2006 lendio base south jordan utah,Term loans,Term loans,36.61971830985916
177,financ financi servic fintech risk manag financ financi servic fintech risk manag lqd busi financ chicago-bas technology-en compani provid small medium size busi structur loan lqd busi financ chicago-bas technology-en compani provid small medium size busi structur loan compani develop whole-busi financ solut singl loan product meet aspect business??? financ requir acquisit work capit purchas order refinanc solut lqd busi financ generat revenu percent clients??? loan amount evalu risk potenti loan use proprietari risk manag back softwar known lqd matrix,Term loans,Working Capital ,36.61971830985916
217,commerci real estat financi servic fintech commerci real estat financi servic fintech commloan??? passion technolog guarante alway match best possibl loan commloantm understand right loan critic bottom line commerci real estat project need loan option need fast hundr differ lender choos commloan bring one-stop shop unpreced access capit market,Term loans,Term loans,36.61971830985916
339,nation??? lead financi servic firm connect merchant divers experienc privat busi lender,Term loans,Working Capital ,36.61971830985916
48,agricultur lend onlin portal agricultur lend onlin portal eloancn china-bas onlin lend platform offer solut borrow lend money among user eloancn wenzhou-bas onlin lend platform member borrow lend money among better interest rate bank typic offer eloancn differenti peer special focus agricultur farm rural area main busi come farmers??? person loan main use agricultur reproduct breed,Term loans,Personal loans,36.61971830985916
349,financ financi servic fintech financ financi servic fintech rimbal provid financi servic technolog financi servic technololgi,Term loans,Lead generation platform,36.61971830985916
66,bank financi servic wealth manag bank financi servic wealth manag onlin access curat invest opportun growth-stag compani i-bank direct oper onlin equiti debt fund platform www.ibankers.com allow individu investor institut access proprietari invest opportun curat select privat public emerging-growth compani,Term loans,Others,36.61971830985916
26,financ financi servic small medium busi financ financi servic small medium busi world busi lender provid capit small busi credit card check cash payment world busi lender llc provid capit small busi compani offer loan product busi accept limit form payment well loan design busi accept credit card check cash payment client includ retail busi regular deposit cash revenu busi oper two year franchise coffe shop dri cleaner doctor dentist world busi lender llc incorpor 2011 base new york new york,Term loans,Working Capital ,36.61971830985916
327,financi servic lend financi servic lend instakash 's aim empow small busi let grow use new method lend instakash aim empow small busi let grow use new method lend want transform experi borrow make simpler effici current offer loan line credit small busi applic process complet minut strive make applic process approv hassl free possibl,Term loans,Others,36.61971830985916
75,commerci real estat crowdfund real estat commerci real estat crowdfund real estat acquir real estat crowdfund platform accredit investor pre-fund co-invest sole institutional-qu deal acquir real estat lead real estat crowdfund platform one platform pre-fund deal acquir focus cash-flow institutional-qu real estat deal co-invest everi properti right alongsid member learn www.acquirerealestate.com,Term loans,Term loans,36.61971830985916
72,financ financi servic small medium busi financ financi servic small medium busi rongzi enabl offlin financi institut provid loan found 2010 shanghai-headquart rongzi enabl offlin financi institut provid loan small medium-s enterpris,Term loans,Term loans,36.61971830985916
37,crowdfund financ fintech crowdfund financ fintech earlyshar real estat crowdfund platform connect return-driven commerci real estat invest earlyshar crowdfund platform connect individu investor curat select vet return-driven real estat invest offer compliant platform investor gain direct access opportun growth compani real estat project invest fund investor either invest passiv owner equiti opportun brought forward sponsor loan origin institut lender earlyshar launch 2011 base miami florida,Term loans,0,36.61971830985916
