,domain_name,Test_document,Expected_result,decision_model_6,decision_model_6_accuracy
103,kountmoney.com,bank financi servic bank financi servic kountmoney websit user appli loan varieti reason kountmoney onlin platform connect creditworthi borrow across india institut lender borrow salari employe look unsecur loan lower interest rate quick disburs,Personal loans,Others,34.24657534246575
212,zebit.com,e-commerc internet payment e-commerc internet payment zebit grant no-cost credit hardwork american without interest fee credit check zebit grant no-cost credit hardwork american without interest fee credit check due cash constraint lack credit access consum typic turn high-cost off-lin financ method payday loan rent-to-own in-stor financ payment total 3 time purchas valu zebit??? payment platform first grant real-tim no-cost credit-check 0 apr financ shop million product pay time combin consum incom data sophist risk analyt allow member shop million name brand product close marketplac zebit provid benefit internet commerc product select lower price mobile-shop conveni disrupt 25 billion high-cost off-lin instal financ industri,Personal loans,Purchase Financing ,34.24657534246575
347,skiptonbusinessfinance.co.uk,enterpris softwar enterpris softwar skipton busi financ provid financi solut uk busi skipton busi financ provid financi solut uk busi core financi product invoic factor invoic discount,Working Capital ,Term loans,34.24657534246575
231,sparkfund.co,account analyt energi effici financ financi servic fintech account analyt energi effici financ financi servic fintech sparkfund power organ provid access latest energi technolog sparkfund financi technolog compani locat washington dc let busi pay time energi effici product servic sparkfund build softwar tool necessari sell product `` servic '' vendor increas want sell product `` servic '' mode sale ensur custom see simpl month payment lower financi benefit creat product complex ownership softwar analyt kept behind curtain drive signific growth sale,Term loans,Working Capital ,34.24657534246575
259,earlysalary.com,"financi servic fintech financi servic fintech earlysalary.com new fintech start-up pune help broke earlysalari salari advanc mobil applic enabl indian user borrow money urgent cash requir get month wage aim help individu face month-end mid-month financi crisi provid small loan receiv salari user applic abl login though facebook account communic amount need loan date could settl submit basic document get money credit bank account earlysalari offer loan 1,000 inr 100,000 inr payback term rang 7 50 day",Personal loans,Personal loans,34.24657534246575
360,welcomeinvestment.com,welcom invest crowd-fund platform,Term loans,Others,34.24657534246575
97,expansionadvance.com,financi servic fintech small medium busi financi servic fintech small medium busi ecg provid loan small busi u.s. histor underserv tradit financi institut expans capit group llc ???ecg??? provid loan small busi u.s. histor underserv tradit financi institut may experienc challeng obtain afford time financ compani develop technolog platform use predict model data aggreg electron payment technolog enabl servic target market tradit lender general focus small busi owners??? person credit histori ecg focus small busi owners??? person credit histori also perform small busi use broad array tradit nontradit data sourc compani develop proprietari end-to-end lend platform includ onlin base origin platform proprietari credit score model autom collect platform collect ach payment merchant,Working Capital ,Working Capital ,34.24657534246575
215,himaxwell.com,credit financi servic fintech credit financi servic fintech mortgag get whole lot easier hi re maxwel we???r mission revolution 8.5t residenti mortgag market reimagin loan offic work togeth homebuy real estat agent buy home connect network one seamless intuitively-design platform focus isn???t paperwork it??? place call home,Lead generation platform,Others,34.24657534246575
314,directlending.com.my,fintech fintech onlin person lend platform onlin person lend platform strive provid faster simpler safer borrow experi consum,Personal loans,Others,34.24657534246575
236,sofi.com,educ financ financi servic fintech person financ wealth manag educ financ financi servic fintech person financ wealth manag sofi modern financ compani take unpreced approach lend wealth manag social financ sofi financ compani offer rang lend wealth manag servic compani primarili cater early-stag profession offer variabl fix rate parent person mba loan mortgag refinanc base san francisco california compani found april 2011,Others,Lead generation platform,34.24657534246575
33,quarterspot.com,financ fintech financ fintech quarterspot onlin lend platform offer small busi work capit quarterspot onlin lend platform offer credit-starv small busi work capit attract rate term acceler access capit use advanc technolog enabl instant underwrit approv same-day close repay investor littl 24 hour contact info quarterspot.com inform,Term loans,Term loans,34.24657534246575
282,loantap.in,financi servic financi servic loantap fintech compani dna constitu loantap onlin platform commit deliv flexibl loan product salari profession innov otherwis dull loan segment deliv smart product millenni idea use technolog build flexibl product without ad cost,Others,Others,34.24657534246575
286,qbera.com,financi servic financi servic qbera manag marketplac unsecur person loan qbera manag marketplac unsecur person loan leverag tech-en acquisit underwrit loan process capabl offer credit product co-creat bank part qbera 's multi-lend network origin asset bank??? liabil perform hybrid lend model wherein qbera share risk bank bank nbfcs plug balanc sheet qbera tap new custom segment use qbera??? programmat lend solut benefit lower oper expens data-driven underwrit credit decis reduct turnaround time cost custom acquisit proven technolog increas profit qbera capabl across lend lifecycl 1 acquisit omni-channel borrow sourc funnel tap best-in-class digit acquisit strategi tech-en offlin partner oper lending-as-a-servic laa model custom acquisit partner enabl offer credit product custom 2 underwrit valid risk strategi scorecard host sophist data-driven rule engin extend access credit salari employe 7 lakh compani 3 fulfil paper-less deliveri loan digit verif resid incom employ major borrow 4 servic proprietari loan manag system lms power custom relationship manag platform automated/self-servic along dedic contact center team 5 collect data-driven earli warn system track provid flexibl stress borrow remain financi buoyant,Personal loans,Personal loans,34.24657534246575
342,rangde.org,financ financi servic non profit financ financi servic non profit rang de invest communiti allow peopl invest project choos rang de bangalor base non-profit oper onlin platform enabl lend rs.100 rural entrepreneur choic rang de essenti kiva india mission make poverti histori india compani overview rang de social initi began mission make microcredit afford peopl onlin portal www.rangde.org enabl individu call social investor lend small sum money entrepreneur low incom household,Others,Working Capital ,34.24657534246575
170,commonbond.co,educ financ financi servic internet educ financ financi servic internet commonbond onlin lend platform connect borrow investor make educ financ better commonbond found lower cost higher educ innov model make possibl student save money student loan allow investor earn competit financi return,Others,Working Capital ,34.24657534246575
179,fundation.com,financ fintech lend financ fintech lend fundat onlin direct lender offer simpl interest small busi loan compani technolog driven process bank offer busi loan fundat offer busi loan faster fundat altern lender provid small busi loan fix rate simpl interest technolog streamlin small busi loan applic process collect third parti data autom major credit review process deliv fund quick possibl leader altern busi financ understand everi busi uniqu specif need fundation??? custom small busi loan ensur receiv appropri term payment option specif industri company??? need provid follow industry-specif small busi fund solut ??? auto repair shop loan ??? gas station loan ??? day care center fund ??? medic practic loan ??? chiropract busi loan ??? dental practic loan ??? physician practic loan ??? veterinari practic financ ??? health care busi loan ??? hotel motel financ ??? restaur loan ??? pharmaci loan ??? law firm financ ??? insur agenc financ ??? vineyard breweri financ ??? liquor store financ ??? funer home financ ??? self-storag financ whether need busi expans loan cash flow financ work capit loan fundat small busi financ solut help compani achiev goal also offer inventori loan help keep busi fulli stock refin loan help repay exist loan acquir better term interest rate matter use altern busi loan fundat expect support throughout entir small busi financ process custom relationship manag work close understand uniqu situat find best fund solut compani continu support long run reach goal contact fundat inform appli small busi loan today,Term loans,Working Capital ,34.24657534246575
321,incred.com,incr,Others,Others,34.24657534246575
94,forafinancial.com,financ fintech financ fintech fora financi provid financi servic busi includ merchant fund small busi loan fora financi provid flexibl work capit solut small busi need financ sustain grow enterpris mean marketplac forum latin fora aim foster communiti act extens clients??? partners??? busi provid financi solut industri insight ensur growth success found 2008 built upon trust transpar compani support small busi communiti histor underserv lender fora financi sinc grown competit financ leader offer one extens offer servic industri manag partner mani employe come small busi background fuel passion spur short- long-term growth segment possess in-depth knowledg mani vertic industri food beverag healthcar technolog retail fora financi pride abil support small busi owner relat financi partner goal make financ process transpar effici fora financi util time-proven tool solut provid custom industri partner innov fund solut compani oper consult approach listen customers??? need provid custom solut best meet need ever-chang financi market,Working Capital ,Working Capital ,34.24657534246575
99,loanbaba.com,"financi servic fintech financi servic fintech loanbaba.com oper consum lend marketplac base mumbai india loanbaba.com oper consum lend marketplac home person car busi loan user find compar packag rate partner bank select one also get applic process faster ad salari slip incom tax return sheet found 2014 loanbaba.com rais 320,000 angel round fund use technolog enhanc market",Lead generation platform,Term loans,34.24657534246575
275,ziploan.in,financi servic lend small medium busi financi servic lend small medium busi ziploan onlin lend platform ziploan rbi regist nbfc technolog enabl on-lin lend platform establish provid small busi loan small busi loan segment ignor financi institut given granular peculiar small busi poor cost benefit trade-off respect sourc underwrit small loan,Working Capital ,Others,34.24657534246575
0,livecapital.com,financ onlin auction small medium busi financ onlin auction small medium busi livecapit provid onlin small busi financ livecapit offer onlin busi financ servic offer user servic decisionexpress product creat econom benefit autom credit leas decis process integr workflow technolog consult solut enabl enterpris make credit decis improv product achiev sale provid credit custom livecapit u.s.-bas compani found 1996 compani acquir dun bradstreet credibl corpor juli 27 2005,Term loans,Working Capital ,34.24657534246575
197,p2bi.com,crowdfund financ fintech crowdfund financ fintech p2binvestor crowdfund receiv financ compani oper invest platform small- mid-siz busi crowdfund meet receiv financ cheaper flexibl altern loan grow busi mani grow busi great idea rapid growth often accompani slow-pay custom subsequ cash-flow issu bank often lend busi without sever year oper histori profit today larg compani love buy smaller innov busi trend toward longer payment term put supplier compani financi bind p2binvestor help small medium-s busi solv issu thrive increas complex busi fund environ suppli work capit grow businesses-secur company??? receivables?? ? competit rate borrow asset-back lend factor crowdfund model function like revolv line credit fund investor crowd interest help busi creat job fuel economi earn fair return,Working Capital ,Working Capital ,34.24657534246575
35,yooli.com,bank credit financi servic bank credit financi servic yooli network secur compani aim provid protect investor safeguard financi profession yooli cooper 23 offlin micro-credit compani offer investor access loan origin mani smaller p2p platform order build trust confid yooli partner third parti assess credit qualiti individu loan,Term loans,Personal loans,34.24657534246575
337,ovamba.com,ovamba platform util peer-to-p lend model allow retail institut lender lend borrow loan ovamba platform use social ???peer-to-peer??? lend model allow retail institut lender lend borrow complet transpar ovamba platform provid liquid risk manag regul local financi firm reduc cost complex usual seen tradit bank system pass save onto ovamba??? member borrow,Term loans,Personal loans,34.24657534246575
107,crowdoutcapital.com,bank financ marketplac bank financ marketplac onlin marketplac connect accredit investor middle-market debt,Term loans,Lead generation platform,34.24657534246575
130,prosper.com,crowdfund financ fintech lend person financ crowdfund financ fintech lend person financ first marketplac lender u. prosper marketplac help peopl get top financ prosper??? mission advanc financi well-b company??? onlin lend platform connect peopl want borrow money individu institut want invest consum credit borrow get access afford fixed-r fixed-term person loan investor opportun earn solid return via data-driven underwrit model date 10 billion person loan origin prosper platform debt consolid larg purchas home improv project medic expens special occas prosper marketplac inc. found 2005 headquart san francisco lend platform own prosper fund llc subsidiari prosper marketplac inc. loan origin prosper marketplac made webbank member fdic visit www.prosper.com follow prosperloan learn prosper note offer prospectus,Personal loans,Others,34.24657534246575
172,wishfin.com,wishfin enabl wish invest credit smart financi manag,Lead generation platform,Personal loans,34.24657534246575
255,patchhomes.com,unlock home equiti wealth consum without interest month payment,Personal loans,Purchase Financing ,34.24657534246575
224,huifenqi.com,rental rental properti servic industri rental rental properti servic industri instal payment platform hous rent,Personal loans,Others,34.24657534246575
93,balancecredit.com,bank credit financ bank credit financ balanc credit built thing don???t go accord plan balanc credit onlin lender provid famili individu person instal loan credit servic offer clear rate term toll-fre custom support abil pay earli penalti time balanc credit licens regul u.s. state oper found 2013 base irv texa,Personal loans,Term loans,34.24657534246575
50,monexo.co,financi servic fintech marketplac peer peer financi servic fintech marketplac peer peer monexo onlin marketplac peer-to-p lend bring togeth lender borrow creat win-win monexo oper onlin peer-to-p lend marketplac small busi employe platform origin borrow lender onlin offlin sale market channel use proprietari screen system review borrow various financi non-financi paramet provid loan offer borrow agre loan offer list marketplac lender view fund allow borrow receiv 48 month futur rental incom subsequ assign rental incom lender launch 2014 monexo oper hong kong china,Personal loans,Personal loans,34.24657534246575
40,yindou.com,financi servic impact invest financi servic impact invest yindou compani suppli chain financ invest area,Working Capital ,Others,34.24657534246575
106,nationalfunding.com,"financ financi servic fintech financ financi servic fintech nation fund financi technolog solut busi nationwid provid capit financ merchant servic found 1999 nation fund one countri 's lead financi technolog compani small medium-s busi provid work capit loan equip financ merchant cash advanc credit card process nation fund provid 1 billion capit 20,000 busi nationwid compani believ american small busi owner strive provid fast turnaround flexibl solut great servic custom client divers rang industri includ automot construct excav manufactur retail packag print restaur telecommun truck wast manag among other compani recogn inc. 500 5000 list past three year well one san diego busi journal??? fastest grow compani past three year",Working Capital ,Working Capital ,34.24657534246575
171,iservefinancial.com,financi servic financi servic onlin offlin customis financi servic solut busi lead financi product distributor india focus serv individu smes corpor customers.they decod financi jargon make thing simpl understand consumers.they larg distributor compel presenc onlin offlin focus provid custom accur inform best financi advic consequ appropri product relev need,Lead generation platform,Others,34.24657534246575
221,nongfenqi.com,"agricultur farm financi servic agricultur farm financi servic nongfenqi rural internet financ servic platform nongfenqi rural internet financ servic platform.run nanj nongfenqi e-commerc co. ltd. provid instal payment servic larg farm group collabor commune agricultur equip purchas compani provid servic 20,000 client far report ad",Purchase Financing ,Lead generation platform,34.24657534246575
110,loannow.com,consum lend financ financi servic fintech person financ consum lend financ financi servic fintech person financ mission help good peopl get better loan sinc launch 2013 loannow help peopl bring access transpar fair subprim lend industri time help borrow understand use credit build repay histori credit file incentiv good borrow behavior mission help good peopl get better loan,Personal loans,Personal loans,34.24657534246575
108,mines.io,fintech mobil payment fintech mobil payment mines.io offer modern financi servic emerg market mines.io make state-of-the-art machin learn graph optim algorithm build financi model credit score fraud detect system integr bank platform payment api telecommun infrastructur provid seamless experi stakehold mines.io incorpor 2013 oper technolog industri headquart san francisco california,Others,Working Capital ,34.24657534246575
156,revolutioncredit.com,consum credit financ consum credit financ revolutioncredit engag platform help lender consum credit decis process revolutioncredit uniqu platform allow consum watch short entertain financi literaci video demonstr improv financi capabl like traffic school credit.?? allow financi institut identifi creditworthi custom extend access wider rang financi servic better price,Others,Personal loans,34.24657534246575
112,duanrong.com,financ fintech wealth manag financ fintech wealth manag net short financi wealth belong long-billion beij invest,Others,Others,34.24657534246575
67,ppdai.com,financ fintech peer peer financ fintech peer peer ppdai onlin platform peer-to-p small unsecur loan china ppdai onlin platform peer-to-p small unsecur loan china build safe high-perform honest network platform creativ technolog ideal ppdai standard person behavior debit credit bring return lender borrow ppdai found august 2007 founder well known compani,Term loans,Personal loans,34.24657534246575
19,pearfunds.com,crowdfund lend marketplac crowdfund lend marketplac experienc team proven platform address need crowdfund marketplac south america experienc team proven platform address need crowdfund marketplac south america megatrend opportun team bet,Personal loans,Lead generation platform,34.24657534246575
363,zestcash.com,financ financ zestcash provid instal loan servic enabl custom take time need pay loan zestcash provid instal loan servic enabl custom take time need pay loan base palatin illinoi,Personal loans,Personal loans,34.24657534246575
240,redcarpetup.com,consum lend credit fintech mobil payment consum lend credit fintech mobil payment data driven onlin lend product purchas financ instal machin learn base credit score redcarpetup lend custom india bank see india credit financ compani abl servic less 10 custom base data widespread credit bureaus profil score custom redcarpet access much data includ data mobil phone use data servic custom never access credit today custom segment young future-prim student colleg use redcarpetup find credit fund onlin purchas ecommerc travel etc tomorrow hope unlock credit india,Purchase Financing ,Purchase Financing ,34.24657534246575
268,ezcred.in,ezcr new age technolog base consum lend platform ezcr new age technolog base consum lend platform 's look reach borrow look consum loan match lender best fit transact borrow need loan,Purchase Financing ,Personal loans,34.24657534246575
235,tala.co,"big data credit financi servic inform technolog mobil softwar big data credit financi servic inform technolog mobil softwar tala mobil technolog data scienc compani revolution financi servic emerg market tala innov fast-pac mobil technolog start-up provid credit score report platform financi servic institut emerg countri tradit credit n't work emerg market mobil technolog unlock trillion dollar purchas power world??? fastest grow economi tala mobil technolog data scienc compani flip tradit credit score model put power hand newli empow consum emerg market mobil app uniqu channel gather averag 10,000 discret data point per user provid person offer deliv real-tim credit",Others,Others,34.24657534246575
175,finovafinancial.com,"financi servic financi servic fast afford onlin loan base equiti car finova financi social respons lender provid fast afford loan base equiti car 70 million financi underserv american spend 138 billion fee interest annual finova??? car equiti line credit c-loc cost 70 less current nation averag provid instant access capit 12-month pathway back financi health onlin mobil anywher 24/7 finova client benefit abil complet loan process onlin instant approv decis day cash fund finova client portal provid person access financi dashboard allow real time manag financi health payment made conveni comput mobil devic 32,000 us retail locat success payment histori provid declin rate opportun establish build credit along access addit fund demand finova provid immedi solut clients??? credit need abil monitor progress real time coupl finova??? ongo financi educ provid pathway improv econom health finova c-loc first mani digit financi servic product launch address unfulfil need financi underserv american finova busi relationship transact client tell us finova first posit relationship financi servic provid passion drive us forward",Personal loans,Lead generation platform,34.24657534246575
123,loanzen.in,financi servic financi servic loanzen help small busi get unsecur work capit loan pend invoic loanzen help small busi get unsecur work capit loan pend invoic,Working Capital ,Others,34.24657534246575
346,shubhloans.com,financi servic inform technolog lend financi servic inform technolog lend shubhloan help financi servic provid access serv new underserv market segment datasign disrupt technolog compani forg idea use tradit non-tradit data comput peopl 's credit score aim democrat credit million borrow part formal credit system help financi servic provid access serv new underserv market segment deliv risk- as- -servic raa mobil platform shubh loan,Others,Personal loans,34.24657534246575
226,krazybee.com,e-commerc financi servic fintech e-commerc financi servic fintech krazybe india-bas e-commerc web app enabl user order product onlin retail differ pay scheme conveni connect bridg colleg go youth india wonder dream aspir,Purchase Financing ,Personal loans,34.24657534246575
322,instakash.in,financi servic lend financi servic lend instakash 's aim empow small busi let grow use new method lend instakash aim empow small busi let grow use new method lend want transform experi borrow make simpler effici current offer loan line credit small busi applic process complet minut strive make applic process approv hassl free possibl,Term loans,Others,34.24657534246575
146,yieldstreet.com,financi servic fintech real estat invest wealth manag financi servic fintech real estat invest wealth manag yieldstreet innov crowdfund platform connect investor asset-bas altern invest yieldstreet provid access asset base invest histor unavail investor mission prosper yieldstreet allow investor effortless particip curat invest low market correl high yield across litig financ real estat altern asset class believ technolog platform creat uniqu experi investor everi level provid valuabl diversif strength portfolio join movement pleas visit yieldstreet.com explor invest opportun learn,Personal loans,Others,34.24657534246575
327,loquidity.com,real estat real estat loquid offer accredit intern investor curat local sourc real estat invest opportun loquid membership-bas platform offer accredit intern investor curat local sourc real estat invest opportun midwest marketplac crowd-sourc real estat invest take middlemen help sponsor fund project loquid member view pre-vet deal learn specif invest track progress onlin investor dashboard receiv email updat deal access q forum deal includ inform estim annual return project length invest properti locat inform market analysi profil primari parti involv invest loquid launch 2014 oper base michigan unit state,Term loans,Others,34.24657534246575
248,perfios.com,"financi servic fintech person financ financi servic fintech person financ perfio softwar solut pvt ltd. offer end user track monitor manag person financ littl manual intervent perfio person financ one stop ?? ? www.perfios.com newag fintech compani provid innov solut person financ relat area b2c person financ manag pfm solut provid perfio offer 360 degre view one??? person financ autom way let end user track monitor manag financ littl manual intervent alreadi 5,00,000 regist user deploy 6 year perfio leverag core technolog autom key aspect certain common busi process financi institut perfio insight b2b solut use various bank nbfcs corpor autom entir process financi check verif extract kyc detail current manual done perfio insight help dramat improv turn-around time process applic loan credit card insur etc whether origin offlin onlin channel thus delight prospect client result entir oper process improv result lower cost higher accuraci superior user experi result increas user acquisit process involv financi verif underwrit benefit use perfio solut perfio support 1000+ differ type e-stat 250+ financi institut automat fetch platform b2c b2b solut use various bank nbfcs corpor well end user b2c solut",Others,Working Capital ,34.24657534246575
242,rupie.co,rupi urban microfin offer loan entir mobil,Personal loans,Lead generation platform,34.24657534246575
254,icekredit.com,big data fintech machin learn big data fintech machin learn innov appli machin learn algorithm big data make all-round credit evalu individu smes icekredit inc. fintech compani regist shanghai free trade zone headquart locat lujiazui financi district branch nanj beij guangzhou changzhou chengdu los angel u.s.a. dedic innov appli machin learn algorithm big data relat technolog make all-round credit evalu individu smes icekredit found begin 2015 upon incept compani fund ten million yuan led intern renown ventur capit free capit yunqi partner wei lie capit decemb 2015 icekredit reciev angel fund octob 2016 icekredit obtain round fund present icekredit obtain total invest 160 million yuan product includ smes credit evalu system individu credit assess system consist anti-fraud engin person credit portrait miss custom contact inform restor compani establish busi relationship hundr domest oversea fin-tech tradit financi compani includ unionpay shenma financ neteas small loan taizhou bank fullerton credit subsidiari singapore-bas temasek hold icekredit??? founder- dr.gu lingyun expert appli big data technolog credit evalu individu smes founder head zestfin model team icekredit??? core member high competit background graduat univers chicago purdu univers georgia institut technolog georg washington univers new york univers carnegi mellon univers steven institut technolog etc return china held key posit benchmark fintech tradit financi compani kabbag zestfin lend club capit one discov ge capit barclay icekredit establish busi relationship hundr famous domest oversea fintech tradit financi compani cooper unionpay jieyu unit shenma financ taizhou bank neteas small loan fullerton credit wecash mani compani icekredit becom lead compani appli big data technolog individu sme credit evalu,Others,Personal loans,34.24657534246575
71,argoncredit.com,analyt consum lend financ financi servic fintech innov manag machin learn person financ analyt consum lend financ financi servic fintech innov manag machin learn person financ argon credit onlin person loan startup current grow u.s. plan expand u.k. europ australia base chicago illinoi argon credit decis engine-bas lend platform prime near-prim borrow seek immedi access onlin person loan platform leverag proprietari algorithm data analyt comb vast array prospective-borrow attribut real time approv disapprov loan applic argon credit found decemb 2013,Personal loans,Personal loans,34.24657534246575
136,bristleconeholdings.com,consum lend fintech inform technolog consum lend fintech inform technolog bristlecon hold engin next generat financi technolog bristlecon develop technolog help busi evalu consum creditworthi autom approv algorithm look hundr differ custom data point leverag power machin learn issu immedi credit decis result truli person credit profil power tool help merchant grow busi,Others,Others,34.24657534246575
60,visiolending.com,financ lend marketplac real estat real estat invest financ lend marketplac real estat real estat invest nation mortgag lender focus need experienc local expert residenti investor simpli put thrive real estat togeth parent compani econohom we???v bought sold financ 240 million home nationwid unlik lender know like skin game understand uniqu need residenti investor draw year experi distress properti field craft loan product four word mind fast simpl flexibl depend know real estat invest take certain amount initi spirit risk-tak it??? everyon we???r passion help peopl like achiev short-term long-term invest goal it??? reason start vfs four year ago oper 36 state continu grow success success,Others,Others,34.24657534246575
154,epaylater.in,custom servic onlin portal payment custom servic onlin portal payment buy pay later solut india epaylat found decemb 2015 aurko bhattacharya prasannaa murlidharan uday somayajula shanmunathan thiagaraja saxena compani give custom option ???buy pay later??? onlin portal one click custom get 14 day make payment within period make mani transact via single-click checkout bunch togeth make singl payment end period,Purchase Financing ,Purchase Financing ,34.24657534246575
280,pearlcapital.com,financ financi servic fintech financ financi servic fintech pearl capit provid innov altern financi solut underbank unbank busi sector one fastest grow provid altern small busi financ america 2015 acquir capit z partner lead specialti financ privat equiti group invest 3 billion dollar last 25 year vision provid best financ underbank provid iso origin channel best servic effici support integr,Lead generation platform,Term loans,34.24657534246575
