,Test_document,Expected_result,knn_model_8,knn_model_8_accuracy
163,financi servic fintech payment person financ financi servic fintech payment person financ payoff make loan help peopl pay credit card debt payoff financi well compani provid member person loan develop product servic support member attain target focus connect financi behavior person compani partner first electron bank origin loan client payoff use 256-bit encrypt protect clients??? inform bank account number social secur number parti offer fix loan rate loan amount client charg one-tim origin fee servic,Others,Mortgages,73.23943661971832
277,crowdfund internet real estat crowdfund internet real estat exporo internet platform offer investor opportun invest real estat project crowdinvest exporo onlin platform offer real-est crowdfund servic user platform enabl user invest rang real-est project obtain return exporo launch 2014 base hamburg,Others,Others,73.23943661971832
234,financi servic financi servic currenc capit equip financ lend technolog invest compani heel great recess busi around countri found left behind commerci bank weren???t lend delay applic fund far long group financi expert along tech wizard decid take action engin technolog streamlin approv fund get complet financi pictur begin applic process result currenc sinc we???v help support busi 500 million loan,Others,Others,73.23943661971832
273,credit card financi servic mobil credit card financi servic mobil blispay financi technolog compani pioneer next generat point-of-sal financ blispay creat cost-effect streamlin in-stor financ experi market blispay visa card mobil centric credit card industri allow merchant size provid financ without technic integr financi oblig custom get enjoy instant issuanc 6 month special financ 2 cash back first product everyday credit financ solut custom deserv merchant need found team consist experienc industri veteran compani includ bill later paypal bank america mbna microsoft zynga we???r proud first product excit bring innov transpar fair bank product market futur appli today www.blispay.com join team email job blispay.com follow us twitter facebook stay date latest news,Others,Others,73.23943661971832
93,consum lend financ financi servic fintech lend consum lend financ financi servic fintech lend chang way borrow safer faster better financi product avant oper onlin marketplac provid user access person loan consolid debt pay unexpect medic expens famili vacat use big data machine-learn algorithm compani offer custom approach streamlin credit option compani cater consum unit state unit kingdom headquart chicago illinoi avant found novemb 2012,Others,Others,73.23943661971832
91,financi servic machin learn person financ financi servic machin learn person financ simplycredit mission transform consum lend known today simplycredit mission transform consum lend known today believ right consum fee penalti price gotcha fine print want bring saniti back lend stand behind underwrit make sure consum get valu servic deserv use advanc technolog creat credit lend innov line valu deliv seamless custom experi,Others,Others,73.23943661971832
271,financi servic fintech inform technolog financi servic fintech inform technolog paysens fintech startup focus bring innov financi servic indian consum paysens fintech startup focus bring innov financi servic indian consum,Others,Others,73.23943661971832
212,bank financi servic lend bank financi servic lend faircent.com websit borrow lender connect direct faircent help elimin high margin intermediari like bank financi institut make transact bank massiv overhead thousand employe pay hundr branch maintain bank must take larg margin money pass wherea faircent.com peopl spare money lend direct peopl want borrow bank middl huge overhead,Others,Others,73.23943661971832
189,digit media financ fintech digit media financ fintech fastpay definit financi platform digit media found 2009 offic los angel new york london fastpay provid liquid financi workflow solut global media industri sinc incept fastpay origin 1 billion loan publish network exchang dsps ssps agenc app develop,Others,Others,73.23943661971832
39,fintech fintech first-ev student loan comparison tool achievelend first-ev student loan comparison tool achievelending.com offer user free onlin portal search find compar student loan design help tradit non-tradit student find best student loan achiev lend first tool kind aggreg loan offer seek privat financ educ purpos take 30 second find choos best loan avail learn www.achievelending.com becom achiev lend affili commiss junction http //bit.ly/1ylqddi,Others,Education Loans ,73.23943661971832
