,domain_name,Test_document,Expected_result,multinomial_model_7,multinomial_model_7_accuracy
104,tiendapago.com,fintech fintech digit platform let small retail emerg market financ consum good enabl mobil cashless payment,Working Capital ,Others,53.42465753424658
321,incred.com,incr,Others,Others,53.42465753424658
240,redcarpetup.com,consum lend credit fintech mobil payment consum lend credit fintech mobil payment data driven onlin lend product purchas financ instal machin learn base credit score redcarpetup lend custom india bank see india credit financ compani abl servic less 10 custom base data widespread credit bureaus profil score custom redcarpet access much data includ data mobil phone use data servic custom never access credit today custom segment young future-prim student colleg use redcarpetup find credit fund onlin purchas ecommerc travel etc tomorrow hope unlock credit india,Purchase Financing ,Others,53.42465753424658
247,cashe.co.in,financi servic financi servic time emi payment squar month bill make major purchas desir cash fin-tech product tslc pte ltd. uniqu young profession serv smart digit world cash offer millenni quick easi person loan process transpar innov tune time cash util sophist algorithm machin learn capabl deliv amaz improv lend experi custom therebi help young profession achiev financi goal effortless app offer instant transfer fund approv applic,Personal loans,Personal loans,53.42465753424658
225,loanframe.com,lend small medium busi lend small medium busi loan frame aim revolutionis small busi lend subcontin cut edg technolog autom loan frame fintech compani ambit meet abil build largest sme lend marketplac sub-contin back lead global privat equiti ventur capit investor help build icon compani world re-imagin small busi lend merg world-class process lead global bank deep indian sme credit experi data scienc cut edg proprietari technolog laser focus help small busi grow,Working Capital ,Others,53.42465753424658
157,flexshopper.com,e-commerc financi servic payment e-commerc financi servic payment get lowest price leas option latest comput electron applianc furnitur flexshopp provid flexibl easi way get furnitur electron applianc popular brand name good low afford week payment goal get approv leas amount need take home product want dedic provid ultim custom servic experi us smooth begin end transact us confidenti secur relax get approv spend limit go shop enjoy,Purchase Financing ,Personal loans,53.42465753424658
189,medmonk.com,health care health care help pharmacist obtain fund patient afford out-of-pocket pharmaceut expens medmonk base premis 's everyon 's best interest medic use regardless price patient get care medic need insur protect larger claim pharmaceut compani pharmaci get maximum use medic co-found somaira punjwani hiv specialti pharmacist invent process altern turn away patient struggl co-pay manual three year overwhelm posit feedback grate patient could afford medic,Personal loans,Personal loans,53.42465753424658
338,paydayone.com,consult financ person financ consult financ person financ payday one provid instal loan credit servic internet payday one lead provid payday loan internet sinc 2002 compani found one goal ???????? consumer-friend lender industri custom mean guarante price fast conveni loan process friend custom servic payday one subsidiari thinkcash inc. offic delawar nevada texa learn thinkcash visit corpor web site www.thinkcashfinancial.com,Personal loans,Personal loans,53.42465753424658
137,vestedfinance.com,financ financi servic fintech financ financi servic fintech vest financ becom vemo educ http //vemo.com/ schoold app http //schoold.co/,Others,Others,53.42465753424658
287,selflender.com,fintech internet person financ fintech internet person financ self lender help peopl build credit simpl save plan self lender help thousand peopl begin financi journey credit builder account understand build financi foundat daunt task peopl re dedic build product help custom move two step right direct,Personal loans,Personal loans,53.42465753424658
89,simplycreditinc.com,financi servic machin learn person financ financi servic machin learn person financ simplycredit mission transform consum lend known today simplycredit mission transform consum lend known today believ right consum fee penalti price gotcha fine print want bring saniti back lend stand behind underwrit make sure consum get valu servic deserv use advanc technolog creat credit lend innov line valu deliv seamless custom experi,Personal loans,Personal loans,53.42465753424658
343,reversevision.com,revers vision softwar develop revers mortgag industri,Others,Others,53.42465753424658
211,applepiecapital.com,financ financi servic marketplac financ financi servic marketplac altern financ platform franchis busi applepi capit marketplac lender provid fresh new approach franchis financ firm??? franchis loan marketplac enabl entrepreneur effici obtain financ start expand franchis busi applepi capit enabl investor earn attract fixed-incom return establish franchis brand know trust,Term loans,Term loans,53.42465753424658
269,blispay.com,credit card financi servic mobil credit card financi servic mobil blispay financi technolog compani pioneer next generat point-of-sal financ blispay creat cost-effect streamlin in-stor financ experi market blispay visa card mobil centric credit card industri allow merchant size provid financ without technic integr financi oblig custom get enjoy instant issuanc 6 month special financ 2 cash back first product everyday credit financ solut custom deserv merchant need found team consist experienc industri veteran compani includ bill later paypal bank america mbna microsoft zynga we???r proud first product excit bring innov transpar fair bank product market futur appli today www.blispay.com join team email job blispay.com follow us twitter facebook stay date latest news,Purchase Financing ,Personal loans,53.42465753424658
107,crowdoutcapital.com,bank financ marketplac bank financ marketplac onlin marketplac connect accredit investor middle-market debt,Term loans,Personal loans,53.42465753424658
285,autogravity.com,automot financ mobil automot financ mobil autogravity??? uniqu mobil platform deliv auto financ palm hand autograv fintech pioneer mission transform process financ car uniqu digit experi autograv partner world??? lead bank give consum direct control financ car smartphon offer simpl mobil platform autograv empow custom multipl loan offer network trust car dealerships.? headquart irvin ca autograv found team digit nativ industri veterans.? learn visit www.autogravity.com follow autogravityhq twitter,Others,Others,53.42465753424658
126,financebuddha.com,financ financi servic fintech financ financi servic fintech financi servic product startup,Lead generation platform,Personal loans,53.42465753424658
132,figtreefinancing.com,energi effici financi servic fintech renew energi energi effici financi servic fintech renew energi figtre ondemandpac program provid pace figtre financ provid client program facilit capit environment friend product servic san diego california-bas clean energi financ compani also offer pace financ support commerci properti owner improv properti lower util bill energi effici renew energi water conserv upgrad found 2010 mahesh shah figtre financ special smart invest energi save emiss reduct properti owner focus small commerci market struggl keep pace linear growth residenti solar,Purchase Financing ,Others,53.42465753424658
9,bilbus.com,financ financ bilbus work capit platform help small busi invoic collect connect commerci lender via singl dashboard bilbus unlock commerci lend smbs give busi visibl work need cash simplifi meet fund gap bilbus work capit platform enabl small busi invoic collect connect commerci lender via singl dashboard,Working Capital ,Term loans,53.42465753424658
81,circlebacklending.com,financ financi servic impact invest financ financi servic impact invest circleback lend internet-bas credit platform purchas fix incom asset back consum credit product circleback lend internet-bas consum lend platform two-part mission first aim provid prime super-prim consum unit state fast effici way borrow money attract interest rate second offer institut high-net-worth individu investor robust transpar platform invest consum loan internet alreadi becom primari place individu manag person financ circleback lend believ trend continu especi tradit bank lend institut maintain extrem tight credit polici even credit-worthi borrow also believ profession investor continu deploy capit consum credit diversifi portfolio beyond tradit stock bond,Personal loans,Others,53.42465753424658
244,caminofinancial.com,commerci lend credit financi servic small medium busi commerci lend credit financi servic small medium busi camino financi community-bas lender latino-own busi unmet credit demand 6.8 billion u.s. camino financi community-bas lender latino-own busi unmet credit demand 6.8 billion u. compani built loan product educ experi help busi improv financi perform graduat lower interest rate longer term loan,Lead generation platform,Others,53.42465753424658
254,icekredit.com,big data fintech machin learn big data fintech machin learn innov appli machin learn algorithm big data make all-round credit evalu individu smes icekredit inc. fintech compani regist shanghai free trade zone headquart locat lujiazui financi district branch nanj beij guangzhou changzhou chengdu los angel u.s.a. dedic innov appli machin learn algorithm big data relat technolog make all-round credit evalu individu smes icekredit found begin 2015 upon incept compani fund ten million yuan led intern renown ventur capit free capit yunqi partner wei lie capit decemb 2015 icekredit reciev angel fund octob 2016 icekredit obtain round fund present icekredit obtain total invest 160 million yuan product includ smes credit evalu system individu credit assess system consist anti-fraud engin person credit portrait miss custom contact inform restor compani establish busi relationship hundr domest oversea fin-tech tradit financi compani includ unionpay shenma financ neteas small loan taizhou bank fullerton credit subsidiari singapore-bas temasek hold icekredit??? founder- dr.gu lingyun expert appli big data technolog credit evalu individu smes founder head zestfin model team icekredit??? core member high competit background graduat univers chicago purdu univers georgia institut technolog georg washington univers new york univers carnegi mellon univers steven institut technolog etc return china held key posit benchmark fintech tradit financi compani kabbag zestfin lend club capit one discov ge capit barclay icekredit establish busi relationship hundr famous domest oversea fintech tradit financi compani cooper unionpay jieyu unit shenma financ taizhou bank neteas small loan fullerton credit wecash mani compani icekredit becom lead compani appli big data technolog individu sme credit evalu,Others,Others,53.42465753424658
