,Test_document,Expected_result,multinomial_model_5,multinomial_model_5_accuracy
177,financ financi servic fintech risk manag financ financi servic fintech risk manag lqd busi financ chicago-bas technology-en compani provid small medium size busi structur loan lqd busi financ chicago-bas technology-en compani provid small medium size busi structur loan compani develop whole-busi financ solut singl loan product meet aspect business??? financ requir acquisit work capit purchas order refinanc solut lqd busi financ generat revenu percent clients??? loan amount evalu risk potenti loan use proprietari risk manag back softwar known lqd matrix,Others,Others,78.87323943661971
343,consult financ person financ consult financ person financ payday one provid instal loan credit servic internet payday one lead provid payday loan internet sinc 2002 compani found one goal ???????? consumer-friend lender industri custom mean guarante price fast conveni loan process friend custom servic payday one subsidiari thinkcash inc. offic delawar nevada texa learn thinkcash visit corpor web site www.thinkcashfinancial.com,Others,Others,78.87323943661971
310,bankbazaar world 's first neutral onlin marketplac instant customis rate quot loan credit card,Others,Others,78.87323943661971
41,financi servic impact invest financi servic impact invest yindou compani suppli chain financ invest area,Others,Others,78.87323943661971
14,"crowdfund financ fintech crowdfund financ fintech endur lend network web-bas lender small medium busi unit state endur lend network web-bas lender focus small medium busi unit state provid loan 25,000 500,000 high-qual entrepreneur look expans capit equip purchas general need",Others,Others,78.87323943661971
211,big data consum lend fintech big data consum lend fintech zest india 's first complet autom consum digit lend platform zestmoney fastest way kind peopl pay use digit emi without need credit card credit score peopl eager upgrad lifestyl work fast grow e-commerc busi help peopl upgrad today pay tomorrow use mobil tech digit bank ai we???v made zestmoney access million indian consum found 2015 digit financ technolog profession priya sharma lizzi chapman ashish anantharaman compani back lead global digit financi servic investor like payu ribbit capit omidiyar network among visit http //zestmoney.in/ learn product servic,Others,Others,78.87323943661971
202,"credit financi servic marketplac credit financi servic marketplac liftforward oper marketplac loan platform provid loan small busi liftforward oper marketplac loan platform provid loan small busi high yield debt product investor busi abl borrow 1,000,000 per transact asset purchas purchas order financ work capit liftforward partner supplier retail manufactur order provid financ small busi custom liftforward partnership includ co-brand white-label portal",Others,Others,78.87323943661971
103,fintech real time fintech real time lendedu help consum compar person financ product lendedu.com onlin marketplac person financ product lendedu.com launch novemb 2014 marketplac student loan refinanc sinc compani expand product includ student loan person loan bank product insur product invest product auto loan credit card lendedu.com free servic consum,Others,Others,78.87323943661971
39,fintech fintech first-ev student loan comparison tool achievelend first-ev student loan comparison tool achievelending.com offer user free onlin portal search find compar student loan design help tradit non-tradit student find best student loan achiev lend first tool kind aggreg loan offer seek privat financ educ purpos take 30 second find choos best loan avail learn www.achievelending.com becom achiev lend affili commiss junction http //bit.ly/1ylqddi,Others,Others,78.87323943661971
275,credit financi servic fintech lend credit financi servic fintech lend credi fintech platform connect borrow seek capit lender seek market beat return credi fintech platform connect borrow seek capit lender seek market-b return,Others,Others,78.87323943661971
74,credit financ financi servic credit financ financi servic splitit credit-bas payment system enabl merchant offer interest free month instal payment custom splitit??? patent technolog revolution retail world enabl seamless instal payment busi size type solut promot growth ecommerc well in-stor retail includ e-wallet capabl,Others,Others,78.87323943661971
3,financ financi servic ventur capit financ financi servic ventur capit bfs capit expert work capit need small busi deliv fund solut reason re busi they???r expert work capit need small busi headquart south florida technology-en financ platform provid 2 million small busi loan merchant cash advanc busi 50 state canada affili boost capit unit kingdom they???v deliv 1 billion total financ small- mid-siz busi across 400 industri help entrepreneur like access work capit busi need direct fund sourc industri leader sinc 2002 year experi firm financi back institut bank partner help solidifi posit prefer fund sourc small busi re proud track record success support dream thousand custom ?? ? 80 repeat busi result better busi bureau a+ rate,Others,Others,78.87323943661971
296,consum lend financi servic fintech consum lend financi servic fintech bread partner retail offer pay-over-tim solut make financ easier transpar bread partner retail offer pay-over-tim solut make financ easier transpar use technolog advanc consumer-friend credit improv access transpar ease-of-us cost product help merchant partner grow sale make product access consum bread found 2014 base new york ny,Others,Others,78.87323943661971
195,consum lend financi servic fintech payment consum lend financi servic fintech payment affirm financi technolog servic compani offer instal loan consum point sale base san francisco california affirm financi servic compani offer instal loan consum point sale aim improv bank industri account access consum found 2012 affirm let shopper pay purchas across multipl month transpar fairly-pr fee built everi payment increas convers basket size e-tail less cost credit card,Others,Others,78.87323943661971
304,fintech payment fintech payment simpl 's mission make money simpl peopl live well amaz thing simpl??? mission make money simpl peopl live well amaz thing simpl??? first product payment option let skip pay repeat instead pay later multipl order one go multipl verif payment failur fumbl chang order arriv,Others,Others,78.87323943661971
