,Test_document,Expected_result,knn_model_3,knn_model_3_accuracy
151,crowdfund fintech real estat real estat invest residenti crowdfund fintech real estat real estat invest residenti access real estat invest fund flip u.s.-bas technolog platform facilit financ residenti redevelop project provid basic screen due dilig redevelop project made avail platform accredit investor fund flip??? invest product borrow depend note allow platform pool investors??? capit togeth keep transact straightforward redevelop investor found 2014 fund flip use invest develop technolog expand platform help real estat develop provid new hous modern distress home,Others,Others,77.02702702702703
242,financ fintech small medium busi financ fintech small medium busi bluevin allow small busi get paid immedi outstand invoic bluevin allow small busi get paid immedi outstand invoic bluevin compani free cash pay expens grow busi compani back lead ventur capit firm base redwood citi ca,Others,Others,77.02702702702703
289,financi servic financi servic onlin marketplac lend platform fintech compani rubiqu demystifi complex financ process empow individu smes provid easi smooth access financ wide rang credit card loan product therebi make financ simpl built proprietari matchmak algorithm rubiqu 's marketplac lend platform offer breakthrough featur like real time process onlin approv direct integr financi institutions??? system reduc process time signific data analyt perform hundr data point rubiqu 's platform assess creditworthi custom loan origin qualif bring predict give elig offer choos rubiqu offer best world ?? ? marketplac custom get choic elig end end fulfil support like lender found oct 2014 fintech compani rubiqu aim becom largest marketplac financi product individu smes septemb 2015 rubiqu rais seri fund led kalaari capit yournest angel fund globevestor dexter angel circl,Others,Others,77.02702702702703
311,"consum lend fintech lend marketplac consum lend fintech lend marketplac connect busi borrow lender base new york unit state boefli onlin marketplac leverag proprietari technolog transform way commerci transact conduct act onlin exchang connect parti involv transact therebi simplifi loan origin secondari market loan sale borrow build complet decision-readi loan request onlin use ???smartform??? technolog complet provid inform 3,600 lender nationwid match technolog identifi compat lender borrow complet control lender instant access loan request compani found 2008",Others,Education Loans ,77.02702702702703
366,welcom invest crowd-fund platform,Others,Others,77.02702702702703
17,credit financ credit financ contigo financi facilit web-bas platform provid employe financi product short-term loan contigo disrupt subprim lend industri offer innov financi product least access partner employ provid socially-respons short-term low-cost loan offer benefit employe lack strong credit histori credit extend employe robust web-bas platform proprietari underwrit model contigo graduat jumpstart foundri acceler program winner vanderbilt univers 's sohr grant startup,Others,Others,77.02702702702703
3,financ financi servic ventur capit financ financi servic ventur capit bfs capit expert work capit need small busi deliv fund solut reason re busi they???r expert work capit need small busi headquart south florida technology-en financ platform provid 2 million small busi loan merchant cash advanc busi 50 state canada affili boost capit unit kingdom they???v deliv 1 billion total financ small- mid-siz busi across 400 industri help entrepreneur like access work capit busi need direct fund sourc industri leader sinc 2002 year experi firm financi back institut bank partner help solidifi posit prefer fund sourc small busi re proud track record success support dream thousand custom ?? ? 80 repeat busi result better busi bureau a+ rate,Others,Others,77.02702702702703
305,financi servic fintech small medium busi financi servic fintech small medium busi capit float onlin platform provid work capit financ smes india capit float onlin platform provid work capit financ smes india offer flexibl short-term loan use purchas inventori servic new order optim cash cycl borrow appli onlin minut select desir repay term receiv fund bank account 7 day minim hassl,Others,Others,77.02702702702703
71,crowdfund financ fintech internet lend real estat crowdfund financ fintech internet lend real estat pofland crowdfund solut real estat financ bring togeth borrow lender simpl onlin interfac patch land real estat marketplac lender use proprietari technolog data provid transpar scalabl effici lend solut patch land offer borrow access reliabl capit residenti commerci real estat project provid investor easi diversif real estat low minimum best-in-class secur loan structur,Others,Others,77.02702702702703
90,financi servic internet lend financi servic internet lend small busi owner 's best friend fundera place small busi owner go need fund grow busi free easi fast honest industri known opposit fundera strive break mold univers applic marketplac model let busi owner skip ???feel lost??? moment focus realli matters?? ? build busi one simpl applic small busi owner appli industry??? lead lender let compar rate across differ kind loan re alway hire intellig invest passion peopl join team check us fundera.com/job,Others,Others,77.02702702702703
285,financ financi servic fintech financ financi servic fintech pearl capit provid innov altern financi solut underbank unbank busi sector one fastest grow provid altern small busi financ america 2015 acquir capit z partner lead specialti financ privat equiti group invest 3 billion dollar last 25 year vision provid best financ underbank provid iso origin channel best servic effici support integr,Others,Others,77.02702702702703
186,analyt big data credit credit card financ internet machin learn analyt big data credit credit card financ internet machin learn selfscor analytics-bas lend compani provid access financi product deserv underserv popul selfscor develop strong market nich around provid access financi product credit card student loan etc deserv underserv popul intern student 1m+ strong grow 31 billion untap annual spend intern student routin grant access us educ system advantag offer howev clear path exist gain access credit market current credit polici handicap leav unabl get credit card student loan car leas without pay exorbit costs/fe want provid financi on-ramp put path toward financi success america given lack credit histori credit score ???thin file file??? evalu student use altern data scienc machin learn method selfscor measur creditworthi use proprietari data scienc framework/algorithm determin students??? abil repay use predict attribut education/major cost educ sourc initi fund futur employ object measur e.g place time graph use framework also determin propens stay/leav countri use attribut complianc framework take consider various feder regulatori constraint concern kyc/cip fair lend cdr ecoa fcra seiz 1m intern student market set foundat futur product market expans thin file popul,Others,Education Loans ,77.02702702702703
128,financ financ cumulus fund provid fund help make purchas pay loan credit card bill cumulus fund invest american worker mani peopl countri need access fund mani differ reason recogn mani case tradit bank lender unwil unabl meet individuals??? need loan avail made term extrem favor bank ?? ? high inflex interest payment multipl hidden fee servic charg often requir can???t make payment bank come take person asset pledg collater,Others,Others,77.02702702702703
255,consum lend credit financ fintech lend person financ consum lend credit financ fintech lend person financ lend club onlin financi communiti bring togeth creditworthi borrow savvi investor lend club onlin financi communiti bring togeth creditworthi borrow savvi investor benefit financi replac high cost complex bank lend faster smarter way borrow invest,Others,Others,77.02702702702703
341,artifici intellig credit lend artifici intellig credit lend optacredit artifici intelligence-pow data-driven onlin lender optacredit artifici intellig power data-driven onlin lender employe work organis partner us driven abil use data underwrit provid short term unsecur loan employe everi elig applic right get access time credit belief base truli understand applic assimil data various sourc ?? ? public privat rather profil within meaningless categori believ applic ratio number uniqu credit servic platform allow firm two prong advantag one provid firm partner us abil unleash true potenti make optimum use work capit two employe welfar scheme avail firm zero cost,Others,Others,77.02702702702703
78,bitcoin consum lend financi servic fintech bitcoin consum lend financi servic fintech leverag blockchain technolog order provid small busi loan emerg market loanbas biggest global lend marketplac use blockchain technolog platform provid small busi emerg market access capit afford rate lender across globe small busi disproportion limit access capit yet re fundament driver economi loanbas leverag blockchain technolog order bring financi innov small busi emerg market,Others,Others,77.02702702702703
246,rupi urban microfin offer loan entir mobil,Others,Micro Finance ,77.02702702702703
18,crowdfund fintech crowdfund fintech communiti sourc capit build innov financi system communiti start communiti sourc capit year research call sustain financ focus singl question financi system design strengthen communiti compani grown idea robust communiti lend system ve expand outsid pacif northwest attract investor want help busi grow recruit talent team member divers background they???r energet passion group do-it-al person background small busi manag socially-respons invest web technolog grassroot market fundrais week basi you???ll find us engag direct small busi owner hang innov bank partner scout new communiti might one day lucki enough work,Others,Others,77.02702702702703
81,"financ financi servic financ financi servic lsq lead invoic financ platform u.s. access 5,000 50 million work capit click button lsq lead invoic financ platform u.s. give entrepreneur power access 5,000 50 million afford work capit click button platform busi upload unpaid invoic get money instant without wait 30 60 90 day get paid custom free cash trap open invoic busi owner get financ need grow keep move forward without take loan found 1996 we???v deliv 10 billion fund thousand busi across nation we???r profit expand rapid orlando hq new york san francisco offic recent rais 110 million ventur capit",Others,Others,77.02702702702703
346,"lend softwar lend softwar quiklo micro-lend platform student enabl electron purchas emi quiklo build proprietari next generat credit risk engin use 1,000+ data point includ deriv data build robust underwrit manag strategi data point deriv multipl non-tradit altern data sourc cater segment credit histori cibil score believ segment equal aspir credit worthi one cibil score core technolog determin credit worthi borrow among young milleni",Others,Credit rating platforms,77.02702702702703
281,financi servic internet ventur capit financi servic internet ventur capit lendingkart onlin financ compani lendingkart onlin financ compani dedic help entrepreneur small busi work capit loan use analyt big data score evalu customer??? busi small motiv team banker data scientist techi tri make differ world small busi financ,Others,Others,77.02702702702703
296,consum lend financi servic fintech consum lend financi servic fintech bread partner retail offer pay-over-tim solut make financ easier transpar bread partner retail offer pay-over-tim solut make financ easier transpar use technolog advanc consumer-friend credit improv access transpar ease-of-us cost product help merchant partner grow sale make product access consum bread found 2014 base new york ny,Others,Others,77.02702702702703
288,financ fintech lend financ fintech lend lendup social respons lender 56 american shut mainstream bank due low credit volatil incom lendup??? mission provid anyon path better financi health build technolog credit product educ experi 56 us popul shut mainstream bank poor credit volatil incom technolog built in-hous current offer sever type credit product includ loan credit card emb educ product avail credit build opportun help borrow improv long-term financi health break vicious debt cycl found two step-broth ceo sasha orloff cto jake rosenberg sasha put ???fin??? fintech work citi world bank grameen bank jake put ???tech??? fintech platform cto zynga 29 began work yahoo age 16 employe 80,Others,Credit rating platforms,77.02702702702703
263,"financi servic fintech financi servic fintech earlysalary.com new fintech start-up pune help broke earlysalari salari advanc mobil applic enabl indian user borrow money urgent cash requir get month wage aim help individu face month-end mid-month financi crisi provid small loan receiv salari user applic abl login though facebook account communic amount need loan date could settl submit basic document get money credit bank account earlysalari offer loan 1,000 inr 100,000 inr payback term rang 7 50 day",Others,Others,77.02702702702703
96,financ fintech financ fintech fora financi provid financi servic busi includ merchant fund small busi loan fora financi provid flexibl work capit solut small busi need financ sustain grow enterpris mean marketplac forum latin fora aim foster communiti act extens clients??? partners??? busi provid financi solut industri insight ensur growth success found 2008 built upon trust transpar compani support small busi communiti histor underserv lender fora financi sinc grown competit financ leader offer one extens offer servic industri manag partner mani employe come small busi background fuel passion spur short- long-term growth segment possess in-depth knowledg mani vertic industri food beverag healthcar technolog retail fora financi pride abil support small busi owner relat financi partner goal make financ process transpar effici fora financi util time-proven tool solut provid custom industri partner innov fund solut compani oper consult approach listen customers??? need provid custom solut best meet need ever-chang financi market,Others,Others,77.02702702702703
147,financi servic peer peer wealth manag financi servic peer peer wealth manag huoqiu financi manag platform huoqiu financi manag platform found januari 2014,Others,Others,77.02702702702703
102,consum lend credit card financ financi servic fintech lend consum lend credit card financ financi servic fintech lend onlin lender use altern data metric lend creditworthi intern citizen modernlend provid credit card intern student worker u.s. understand educ employ financi background determin creditworthi without requir ssn fico credit score launch first credit card tailor intern citizen summer 2016 found wharton busi school bring 10+ year experi goldman sach well fargo seed stage fund portfolio compani entrepreneur roundtabl acceler bbva bank??? global fintech competit 650 startup learn www.modernlend.com,Others,Others,77.02702702702703
54,consum e-commerc search engin consum e-commerc search engin taodangpu e-commerc websit focus abandon pawn item pawnshop taodangpu ????? ? ? ? ? e-commerc websit focus abandon pawn item pawnshop help pawnshop display item make conveni consum understand search purchas item taodangpu subordin shanghai jade diamond e-commerc,Others,Others,77.02702702702703
254,"credit financi servic lend onlin portal credit financi servic lend onlin portal upgrad lend compani offer credit monitor platform free upgrad onlin lend platform combin person loan free credit monitor help secur afford credit long run learn http //upgrade.com/ upgrad offer loan 50,000 low fix rate afford month payment prepay fee one-pag onlin applic quick easi you???ll get decis second negat impact credit score repay plan either 36 60 month get choos loan fit budget timelin approv loan fund next day use fund pay credit card major purchas home improv we???r help build financi futur set success choos custom due date sign automat payment circl date calendar debt free come month we???ll also launch new tool help better manag monitor credit score two member found team renaud laplanch soul htite co-found lend club pioneer marketplac lend facilit 24 billion loan made credit afford near 2 million american famili last decad soul also found dianrong one largest marketplac lend platform china founder design new credit platform attempt creat even valu custom help peopl",Others,Credit rating platforms,77.02702702702703
130,internet internet finomena financi technolog start-up revolutionis way everi consum think finance. innov happen smart peopl stubbor decid ask simpl first-principles-bas question instead accept status-quo-bas answer found stanford iit delhi graduat ve previous kick ass place like facebook microsoft boston consult group bain capit finomena provid access flexibl credit larg segment india??? young demograph tradit access finomena aim radic chang end-to-end custom experi borrow person profession growth make young indian financi independ financi liter thus revolutionis way bank done today??? smartphone-wield indian,Others,Others,77.02702702702703
121,financ financi servic fintech lend financ financi servic fintech lend credibl emerg fintech platform credibl former known retailcapit credibl emerg fintech platform leverag data scienc technolog manic focus custom experi creat uniqu lend capit platform order serv small medium busi trust commit partner,Others,Others,77.02702702702703
362,financ financ viainvest peer-to-p marketplac viainvest peer-to-p marketplac privat investor individu legal entiti invest loan origin non-bank lender via sms group subsidiari origin loan portfolio main consist short-term consum loan claim across europ,Others,Others,77.02702702702703
229,lend small medium busi lend small medium busi loan frame aim revolutionis small busi lend subcontin cut edg technolog autom loan frame fintech compani ambit meet abil build largest sme lend marketplac sub-contin back lead global privat equiti ventur capit investor help build icon compani world re-imagin small busi lend merg world-class process lead global bank deep indian sme credit experi data scienc cut edg proprietari technolog laser focus help small busi grow,Others,Others,77.02702702702703
28,credit crowdfund crowdsourc financ financi servic fintech credit crowdfund crowdsourc financ financi servic fintech raisework oper onlin direct lend platform connect small privat busi institut lender raisework oper onlin direct lend platform connect small busi institut lender look lend direct privat busi improv small busi access capit leverag technolog lower cost custom acquisit loan applic process result dramat acceler application-to-fund cycl institut lender raisework open door opportun invest direct credit-worthi privat busi earn stabl attract return,Others,Others,77.02702702702703
53,crowdfund real estat crowdfund real estat real estat crowdfund brand hotel asset equityroot engag real estat crowdfund specif franchis hotel asset marriott hilton ihg starwood hyatt brand passiv investor find reward invest opportun asset class equityroots.com,Others,Others,77.02702702702703
48,agricultur lend onlin portal agricultur lend onlin portal eloancn china-bas onlin lend platform offer solut borrow lend money among user eloancn wenzhou-bas onlin lend platform member borrow lend money among better interest rate bank typic offer eloancn differenti peer special focus agricultur farm rural area main busi come farmers??? person loan main use agricultur reproduct breed,Others,Others,77.02702702702703
117,"consum financi servic point sale retail consum financi servic point sale retail loanhero provid financ import thing life empow merchant extend instant financ point sale loanhero provid financ import thing life whether it??? medic procedur cover insur new roof we???r cover expens 1,000 innov financ platform empow merchant extend instant financ point sale multipl lender simpl applic consum receiv best loan product regardless credit loanhero fastest grow player retail financ platform partner credit union creat better lend option consum hero join forc loanhero",Others,Others,77.02702702702703
155,financi servic lend payment financi servic lend payment china-bas p2p lend platform weidai earli stage person credit system base china peer-to-p lend servic use vehicl collater weidai plan expand use properti collater provid person loan well,Others,Others,77.02702702702703
323,financ financi servic lend financ financi servic lend fund wizard marketplac connect busi owner vast network local nation lender investor,Others,Others,77.02702702702703
367,internet internet countri 's first internet platform build intellig rent instal kingdom zebra zebra network technolog beij co. ltd. brand countri 's first internet platform build intellig rent instal commit nation 's renter provid simpl conveni servic rent instal use advanc internet technolog matur help peopl solv current urban popul rent heavi pressur china 's leader field rent instal mobil stage promot chengdu subsidiari compani kingdom zebra depth use comput scienc field intellig algorithm person recommend model short period time user handl rent instal servic commit internet technolog modern financi servic combin provid user perfect servic core team member well-known intern oper equip provid internet compani media 8 year internet develop stage oper experi technolog,Others,Others,77.02702702702703
214,financi servic financi servic rupaiya exchang peer-to-p lend platform rupaiya exchang lead peer peer p2p lend marketplac facilit lend connect creditworthi borrow lender across india,Others,Others,77.02702702702703
328,iou financi focus provid small busi invest loan advisori servic fund 200 million small busi loan iou financi experi help busi get need offic world knowledg flexibl get busi capit need seiz growth opportun help realiz potenti,Others,Others,77.02702702702703
345,financ financ principi capit provid work capit small busi need help grant base credit score principi capit provid merchant cash advanc deal single-employe servic provid small medium-s busi base new york serv wide rang industri throughout entir unit state canada,Others,Others,77.02702702702703
206,financi servic marketplac real estat financi servic marketplac real estat lendinghom offer flexibl simpl fast transpar reliabl way borrow get mortgag `` silicon valley reimagin mortgag process ground right way '' ask question late 2013 realiz mortgag broken hard believ industri massiv vital import economi could continu function virtual innov decid fix lendinghom born brought togeth best technolog oper data build next generat mortgag platform meant rethink custom acquisit user experi credit analysi algorithm underwrit oper effici loan servic capit market financi autom consum brand fundament believ technology-en marketplac bring togeth borrow investor futur mortgag combin platform world-class entrepreneuri team ve made futur realiti welcom lendinghom,Others,Mortgages,77.02702702702703
213,credit financ financi servic small medium busi credit financ financi servic small medium busi ondeck technology-en financi platform provid loan financ small- medium-s busi ondeck technology-en financi platform provid loan financ small- medium-s busi compani use proprietari softwar aggreg data business??? oper process algorithm determin loan elig ondeck found 2006 base new york citi unit state,Others,Others,77.02702702702703
287,financi servic financi servic loantap fintech compani dna constitu loantap onlin platform commit deliv flexibl loan product salari profession innov otherwis dull loan segment deliv smart product millenni idea use technolog build flexibl product without ad cost,Others,Others,77.02702702702703
2,credit e-commerc payment credit e-commerc payment bill later paypal servic enabl custom purchas product without provid credit card detail bill later inc. provid payment market technolog solut multichannel retail offer paycaptur set credit tool bill later enabl custom pay purchas without provid credit card inform compani support deliv suit web-engin payment solut offer consult servic area payment risk manag market technolog bill later inc. former known i4 commerc inc. chang name bill later inc. august 2007 compani found 2000 base timonium maryland novemb 7 2008 bill later inc. oper subsidiari ebay inc,Others,Others,77.02702702702703
162,e-commerc servic industri shop e-commerc servic industri shop fenqil web-bas onlin shop mall offer wide rang product fenqil web-bas onlin shop mall offer wide rang product mobil phone person comput camera beauti product base shenzhen guangdong china,Others,Others,77.02702702702703
77,cloud manag financ fintech health care payment cloud manag financ fintech health care payment primahealth credit reinvent patient financ cloud-bas payment manag financ platform primahealth credit reinvent patient pay out-of-pocket healthcar expens empow healthcar provid cloud-bas payment manag financ platform enabl offer payment solut point-of-car today healthcar provid lack modern intuit point-of-sal payment financ solut patient seek transpar financi product help pay out-of-pocket healthcar expens primahealth credit offer smarter simpler transpar payment solut patient love doctor valu,Others,Others,77.02702702702703
