,domain_name,Test_document,Expected_result,multinomial_model_5,multinomial_model_5_accuracy
302,blend.com,enterpris financi servic fintech home servic enterpris financi servic fintech home servic blend 's technolog empow top mortgag lender effici compliant borrower-friend blend silicon valley technolog compani transform consum lend ecosystem blend 's technolog deliv speed effici lender serv modern borrow safe navig industri 's chang rule regul found may 2012 blend back greylock partner emerg capit 8vc founder fund andreessen horowitz lightspe nyca max levchin lead ventur investor learn visit blend.com/,Others,Others,56.16438356164384
14,enduranceln.com,"crowdfund financ fintech crowdfund financ fintech endur lend network web-bas lender small medium busi unit state endur lend network web-bas lender focus small medium busi unit state provid loan 25,000 500,000 high-qual entrepreneur look expans capit equip purchas general need",Term loans,Term loans,56.16438356164384
363,zestcash.com,financ financ zestcash provid instal loan servic enabl custom take time need pay loan zestcash provid instal loan servic enabl custom take time need pay loan base palatin illinoi,Personal loans,Personal loans,56.16438356164384
142,sindeo.com,consum lend financi servic real estat consum lend financi servic real estat sindeo chang mortgag industri ground offer homebuy straightforward path home ownership refinanc sindeo www.sindeo.com san francisco-bas startup that??? bring mortgag modern world they???r chang way get mortgag truli unbias mortgag advisor high-tech transpar process low cost structur visit www.sindeo.com learn,Others,Others,56.16438356164384
147,fundthatflip.com,crowdfund fintech real estat real estat invest residenti crowdfund fintech real estat real estat invest residenti access real estat invest fund flip u.s.-bas technolog platform facilit financ residenti redevelop project provid basic screen due dilig redevelop project made avail platform accredit investor fund flip??? invest product borrow depend note allow platform pool investors??? capit togeth keep transact straightforward redevelop investor found 2014 fund flip use invest develop technolog expand platform help real estat develop provid new hous modern distress home,Term loans,Term loans,56.16438356164384
137,vestedfinance.com,financ financi servic fintech financ financi servic fintech vest financ becom vemo educ http //vemo.com/ schoold app http //schoold.co/,Others,Personal loans,56.16438356164384
141,licaifan.com,develop platform e-commerc financ fintech develop platform e-commerc financ fintech licaifan chines onlin financ platform licaifan chines onlin financ platform offer p2b invest loan financi servic small- medium-s enterpris launch march 2014 compani headquart beij china,Term loans,Others,56.16438356164384
135,switchme.in,financi servic financi servic switchm consum servic make easi consum switch one servic anoth switchm consum servic make easi consum switch one servic anoth thus switchm make consum choic real easi switchm india 's first onlin switch servic design make select cheapest servic provid easier never make consum choic easi comparison engin technolog ground staff legwork requir switch current cutom switch electricti provid mobil network provid home loan lender servic open custom mumbai region time,Lead generation platform,Others,56.16438356164384
177,loandepot.com,"financ financi servic real estat financ financi servic real estat loandepot independ retail mortgag lender provid residenti loan resid u.s. loandepot third largest privat independ retail mortgag lender u.s. provid residenti loan loandepot??? current busi channel includ direct lend affin branch retail servic innov onlin consum direct lend platform oper loandepot brand compani also leader distribut branch purchas platform imortgag brand loandepot current 2,200 employe 700 licens loan offic serv 50 state licens 50 state loandepot approv seller/servic fanni mae freddi mac ginni mae servic major loan origin product lineup includ fha harp va jumbo loan compani open door busi 2010 follow u.s. financi meltdown found principl fair ethic lend customer-centr strategi deliv great servic competit rate loandepot??? ceo chairman industri veteran anthoni hsieh innov mortgag lend industri loandepot leadership team compris season execut help lead largest success mortgag compani financi institut u.",Others,Others,56.16438356164384
47,eloancn.com,agricultur lend onlin portal agricultur lend onlin portal eloancn china-bas onlin lend platform offer solut borrow lend money among user eloancn wenzhou-bas onlin lend platform member borrow lend money among better interest rate bank typic offer eloancn differenti peer special focus agricultur farm rural area main busi come farmers??? person loan main use agricultur reproduct breed,Term loans,Personal loans,56.16438356164384
319,guaranteedrate.com,financ financi servic person financ financ financi servic person financ guarante rate provid mortgag lend servic home loan home mortgag refinanc servic,Others,Others,56.16438356164384
220,letsmd.com,fit health care well fit health care well letsmd.com marketplac elect surgeri letsmd hope chang way peopl access healthcar india price transpar healthcar price india black hole aim provid avenu prospect patient connect ethic healthcar servic provid offer transpar price found advis peopl decad experi healthcar letsmd aim go destin peopl seek high qualiti healthcar afford price,Personal loans,Personal loans,56.16438356164384
362,bfscapital.com,ynera financi servic financi servic compani provid busi loan financ etc,Working Capital ,Others,56.16438356164384
23,instorefinance.com,financ saa softwar financ saa softwar instorefinance.com? offer softwar program allow retail store increas sale financ custom via onlin payment portal instor financ financ platform allow merchant financ custom purchas merchant use program longer lose big ticket sale custom n't money product ve care pick often happen custom n't qualifi tradit financ manag paperwork instal store cash check send month merchant work instor financ generat extra sale loyal custom sinc get tell `` re approv '',Purchase Financing ,Others,56.16438356164384
24,mylendpro.com,consum financ saa consum financ saa lendpro cloud-bas saa platform enabl consum to? appli retail financ program lendpro llc leverag founder 's year experi big-ticket retail consum financ offer excit new program big-ticket merchant lender consum open-to-buy consum financ applic process cloud-bas software-as-a-servic saa platform enabl consum appli retail financ program offer one lendpro 's mani lender partner anywher use one lendpro 's big-ticket merchant partner,Purchase Financing ,Others,56.16438356164384
355,trustio.in,financi servic financi servic trustio newdelhi-bas peer-to-p lend compani trustio person financi secur net trustio tri creat close alumni communiti member rais money alumni time need varieti reason invest money peer help well make decent return invest,Personal loans,Personal loans,56.16438356164384
238,bluevine.com,financ fintech small medium busi financ fintech small medium busi bluevin allow small busi get paid immedi outstand invoic bluevin allow small busi get paid immedi outstand invoic bluevin compani free cash pay expens grow busi compani back lead ventur capit firm base redwood citi ca,Working Capital ,Working Capital ,56.16438356164384
209,ondeck.com,credit financ financi servic small medium busi credit financ financi servic small medium busi ondeck technology-en financi platform provid loan financ small- medium-s busi ondeck technology-en financi platform provid loan financ small- medium-s busi compani use proprietari softwar aggreg data business??? oper process algorithm determin loan elig ondeck found 2006 base new york citi unit state,Term loans,Term loans,56.16438356164384
