,Test_document,Expected_result,knn_model_3,knn_model_3_accuracy
82,"fintech marketplac real estat real estat invest fintech marketplac real estat real estat invest re onlin marketplac real estat invest connect borrow sponsor individu institut investor realtymogul.com onlin marketplac real estat invest connect borrow sponsor capit accredit institut investor onlin platform realtymogul.com give borrow access debt capit sponsor access equiti capit investor tool brows invest due dilig invest onlin realtymogul.com offer bridg perman loan joint ventur equiti 80,000 regist investor call realtymogul.com member devot communiti invest 200 million 350 properti valu 800 million effort receiv million distribut accredit institut investor look diversifi portfolio realtymogul.com offer fast easi frictionless platform serv 21st centuri bridg connect previous inaccess invest opportun real estat invest sponsor look rais joint ventur equiti borrow look flexibl debt realtymogul.com provid access equiti debt would like take sever month secur tradit mean ???traditional??? mean ???slow??? ???restrictive??? whether accredit institut investor want diversifi portfolio across real estat asset class borrow search flexibl loan real estat invest sponsor look rais joint ventur equiti join realti mogul today take real estat invest 21st centuri",Term loans,Term loans,56.16438356164384
71,crowdfund financ fintech internet lend real estat crowdfund financ fintech internet lend real estat pofland crowdfund solut real estat financ bring togeth borrow lender simpl onlin interfac patch land real estat marketplac lender use proprietari technolog data provid transpar scalabl effici lend solut patch land offer borrow access reliabl capit residenti commerci real estat project provid investor easi diversif real estat low minimum best-in-class secur loan structur,Term loans,Term loans,56.16438356164384
85,financ financi servic local busi marketplac financ financi servic local busi marketplac dealstruck best place small busi financ growth dealstruck lend marketplac connect profit small- medium-s busi individu institut accredit investor unlik one-size-fits-al approach offer bank high-cost short-term credit offer altern lender dealstruck provid patient growth capit allow busi time plan execut maximum success dealstruck first combin thorough credit screen busi borrow allow investor freedom choos specif invest build custom portfolio meet prefer risk return industri size,Term loans,Term loans,56.16438356164384
48,agricultur lend onlin portal agricultur lend onlin portal eloancn china-bas onlin lend platform offer solut borrow lend money among user eloancn wenzhou-bas onlin lend platform member borrow lend money among better interest rate bank typic offer eloancn differenti peer special focus agricultur farm rural area main busi come farmers??? person loan main use agricultur reproduct breed,Term loans,Personal loans,56.16438356164384
70,e-commerc marketplac real estat e-commerc marketplac real estat assetavenu onlin lender real estat invest properti assetavenu los angeles-bas onlin lender use technolog improv way peopl borrow money real estat invest properti innov onlin platform proprietari data model enabl us deliv new benchmark speed transpar flexibl tradit bank ca n't compet fund loan institut capit matter day assetavenu back world 's lead vc firm includ dcm ventur matrix partner neteas capit name one top 10 lend start-up watch 2014 featur numer public includ wall street journal entrepreneur inc forb,Term loans,Term loans,56.16438356164384
269,financ fintech govtech impact invest softwar financ fintech govtech impact invest softwar neighbor modern access public financ 1 billion dollar per day market fund vital public project like school park neighbor modern access public financ multi-trillion dollar market fund vital public project like school park librari road next-gener public project neighborhood microgrid investor neighbor deliv direct access high-qual world-posit invest opportun issuer neighbor provid platform borrow 's need 's need public project,Term loans,Term loans,56.16438356164384
36,bank credit financi servic bank credit financi servic yooli network secur compani aim provid protect investor safeguard financi profession yooli cooper 23 offlin micro-credit compani offer investor access loan origin mani smaller p2p platform order build trust confid yooli partner third parti assess credit qualiti individu loan,Term loans,Others,56.16438356164384
361,financ financi servic person financ financ financi servic person financ trustleaf onlin platform enabl early-stag entrepreneur crowdfund ventur friend famili trustleaf onlin platform enabl early-stag entrepreneur crowdfund ventur friend famili small busi owner leverag social capit rais capit lender also get legal protect loan famili member??? word trustleaf offer featur auto-gener custom promissori note onlin signatur email remind updat repay quick loan builder trustleaf launch august 2013 anson liang daniel lieser base sunnyval california usa,Term loans,Others,56.16438356164384
183,financ fintech lend financ fintech lend fundat onlin direct lender offer simpl interest small busi loan compani technolog driven process bank offer busi loan fundat offer busi loan faster fundat altern lender provid small busi loan fix rate simpl interest technolog streamlin small busi loan applic process collect third parti data autom major credit review process deliv fund quick possibl leader altern busi financ understand everi busi uniqu specif need fundation??? custom small busi loan ensur receiv appropri term payment option specif industri company??? need provid follow industry-specif small busi fund solut ??? auto repair shop loan ??? gas station loan ??? day care center fund ??? medic practic loan ??? chiropract busi loan ??? dental practic loan ??? physician practic loan ??? veterinari practic financ ??? health care busi loan ??? hotel motel financ ??? restaur loan ??? pharmaci loan ??? law firm financ ??? insur agenc financ ??? vineyard breweri financ ??? liquor store financ ??? funer home financ ??? self-storag financ whether need busi expans loan cash flow financ work capit loan fundat small busi financ solut help compani achiev goal also offer inventori loan help keep busi fulli stock refin loan help repay exist loan acquir better term interest rate matter use altern busi loan fundat expect support throughout entir small busi financ process custom relationship manag work close understand uniqu situat find best fund solut compani continu support long run reach goal contact fundat inform appli small busi loan today,Term loans,Term loans,56.16438356164384
315,consum lend credit financ financi servic consum lend credit financ financi servic cointrib onlin lend marketplac provid small busi salari individu way get funds/capit cointrib oper onlin lend marketplac enabl small busi salari individu get fund capit company??? servic enabl compani appli busi person loan websit mobil applic cointrib found amit sachdev rohit lohia 2015 headquart gurgaon india,Term loans,Personal loans,56.16438356164384
0,financ onlin auction small medium busi financ onlin auction small medium busi livecapit provid onlin small busi financ livecapit offer onlin busi financ servic offer user servic decisionexpress product creat econom benefit autom credit leas decis process integr workflow technolog consult solut enabl enterpris make credit decis improv product achiev sale provid credit custom livecapit u.s.-bas compani found 1996 compani acquir dun bradstreet credibl corpor juli 27 2005,Term loans,Term loans,56.16438356164384
340,energi renew energi energi renew energi open energi provid 0.5m 10m non-recours debt financ solar project open energi provid 0.5m 10m non-recours debt financ solar project standard document fix transact cost streamlin financ process open energi rapid process loan applic allow quick tap potenti solar power compar tradit lender open energy??? solut reduc total transact fee approxim 70 percent,Term loans,Others,56.16438356164384
213,credit financ financi servic small medium busi credit financ financi servic small medium busi ondeck technology-en financi platform provid loan financ small- medium-s busi ondeck technology-en financi platform provid loan financ small- medium-s busi compani use proprietari softwar aggreg data business??? oper process algorithm determin loan elig ondeck found 2006 base new york citi unit state,Term loans,Term loans,56.16438356164384
235,account analyt energi effici financ financi servic fintech account analyt energi effici financ financi servic fintech sparkfund power organ provid access latest energi technolog sparkfund financi technolog compani locat washington dc let busi pay time energi effici product servic sparkfund build softwar tool necessari sell product `` servic '' vendor increas want sell product `` servic '' mode sale ensur custom see simpl month payment lower financi benefit creat product complex ownership softwar analyt kept behind curtain drive signific growth sale,Term loans,Others,56.16438356164384
175,financi servic financi servic onlin offlin customis financi servic solut busi lead financi product distributor india focus serv individu smes corpor customers.they decod financi jargon make thing simpl understand consumers.they larg distributor compel presenc onlin offlin focus provid custom accur inform best financi advic consequ appropri product relev need,Lead generation platform,Term loans,56.16438356164384
87,bank financ financi servic bank financ financi servic smecorn onlin platform enabl smes access loan easili bank nbfcs smecorn onlin platform enabl small medium enterpris access loan bank nbfcs smecorner.com found samir bhatia sneha shah base mumbai maharashtra,Lead generation platform,Term loans,56.16438356164384
310,bankbazaar world 's first neutral onlin marketplac instant customis rate quot loan credit card,Lead generation platform,Lead generation platform,56.16438356164384
101,"financi servic fintech financi servic fintech loanbaba.com oper consum lend marketplac base mumbai india loanbaba.com oper consum lend marketplac home person car busi loan user find compar packag rate partner bank select one also get applic process faster ad salari slip incom tax return sheet found 2014 loanbaba.com rais 320,000 angel round fund use technolog enhanc market",Lead generation platform,Others,56.16438356164384
129,financ financi servic fintech financ financi servic fintech financi servic product startup,Lead generation platform,Others,56.16438356164384
123,fintech fintech slicepay secur payment platform let colleg student shop onlin offlin store without pay everyth upfront buddi indian fintech startup offer digit credit vault student bangalor abl buy borrow credit pay back time use concept credit card student abl choos checkout pay back later end month also allow user buy product easi fix month instal,Purchase Financing ,Others,56.16438356164384
