,Test_document,Expected_result,multinomial_model_9,multinomial_model_9_accuracy
344,"fintech fintech plum transform cre ownership experi unparallel access loan option tech tool exclus network plum lend non-bank commerci real estat lender special loan 1,000,000 15,000,000 nationwid combin power innov technolog team real estat financ profession deliv expedit execut improv transact visibl unparallel client experi allow acquisit refin properti nationwid includ multifamili offic industri retail hotel manufactur hous self-storag plum lend u.s.-bas compani found 2014 bill fisher",Term loans,Others,50.70422535211267
342,ovamba platform util peer-to-p lend model allow retail institut lender lend borrow loan ovamba platform use social ???peer-to-peer??? lend model allow retail institut lender lend borrow complet transpar ovamba platform provid liquid risk manag regul local financi firm reduc cost complex usual seen tradit bank system pass save onto ovamba??? member borrow,Term loans,Personal loans,50.70422535211267
66,bank financi servic wealth manag bank financi servic wealth manag onlin access curat invest opportun growth-stag compani i-bank direct oper onlin equiti debt fund platform www.ibankers.com allow individu investor institut access proprietari invest opportun curat select privat public emerging-growth compani,Term loans,Term loans,50.70422535211267
238,financ fintech lend financ fintech lend bond street startup focus transform small busi lend technolog data design bond street startup focus transform small busi lend technolog data design small busi owner foundat growth economi yet today??? bank system left behind we???r build better futur access financ simpl transpar fair,Term loans,Others,50.70422535211267
340,energi renew energi energi renew energi open energi provid 0.5m 10m non-recours debt financ solar project open energi provid 0.5m 10m non-recours debt financ solar project standard document fix transact cost streamlin financ process open energi rapid process loan applic allow quick tap potenti solar power compar tradit lender open energy??? solut reduc total transact fee approxim 70 percent,Term loans,Others,50.70422535211267
199,financ financi servic fintech lend financ financi servic fintech lend lendio platform help small busi owner find lender secur loan lendio oper onlin marketplac enabl small busi owner find lender secur loan fill applic form platform match custom suitabl loan option work network 50 lender enabl user compar choos among rang loan includ sba startup equip commerci real estat also offer loan calcul inform blog educ resourc launch march 2006 lendio base south jordan utah,Term loans,Term loans,50.70422535211267
70,e-commerc marketplac real estat e-commerc marketplac real estat assetavenu onlin lender real estat invest properti assetavenu los angeles-bas onlin lender use technolog improv way peopl borrow money real estat invest properti innov onlin platform proprietari data model enabl us deliv new benchmark speed transpar flexibl tradit bank ca n't compet fund loan institut capit matter day assetavenu back world 's lead vc firm includ dcm ventur matrix partner neteas capit name one top 10 lend start-up watch 2014 featur numer public includ wall street journal entrepreneur inc forb,Term loans,Term loans,50.70422535211267
18,crowdfund fintech crowdfund fintech communiti sourc capit build innov financi system communiti start communiti sourc capit year research call sustain financ focus singl question financi system design strengthen communiti compani grown idea robust communiti lend system ve expand outsid pacif northwest attract investor want help busi grow recruit talent team member divers background they???r energet passion group do-it-al person background small busi manag socially-respons invest web technolog grassroot market fundrais week basi you???ll find us engag direct small busi owner hang innov bank partner scout new communiti might one day lucki enough work,Term loans,Term loans,50.70422535211267
144,develop platform e-commerc financ fintech develop platform e-commerc financ fintech licaifan chines onlin financ platform licaifan chines onlin financ platform offer p2b invest loan financi servic small- medium-s enterpris launch march 2014 compani headquart beij china,Term loans,Term loans,50.70422535211267
8,financ fintech financ fintech lendinero compani provid short term alternative-fund small medium size exist busi lendinero ventur capit firm provid short-term fund solut smes ancillari servic assist client view manag account cloud addit firm offer rang financi solut smes includ lendireno loan merchant cash advanc loan sba loan addit firm also carri advisori servic assist client obtain financ lendinero found 2011 gil zapata base florida,Term loans,Personal loans,50.70422535211267
311,"consum lend fintech lend marketplac consum lend fintech lend marketplac connect busi borrow lender base new york unit state boefli onlin marketplac leverag proprietari technolog transform way commerci transact conduct act onlin exchang connect parti involv transact therebi simplifi loan origin secondari market loan sale borrow build complet decision-readi loan request onlin use ???smartform??? technolog complet provid inform 3,600 lender nationwid match technolog identifi compat lender borrow complet control lender instant access loan request compani found 2008",Term loans,Personal loans,50.70422535211267
0,financ onlin auction small medium busi financ onlin auction small medium busi livecapit provid onlin small busi financ livecapit offer onlin busi financ servic offer user servic decisionexpress product creat econom benefit autom credit leas decis process integr workflow technolog consult solut enabl enterpris make credit decis improv product achiev sale provid credit custom livecapit u.s.-bas compani found 1996 compani acquir dun bradstreet credibl corpor juli 27 2005,Term loans,Term loans,50.70422535211267
309,financi servic financi servic ascentium capit independ equip financ compani ascentium capit llc special provid broad rang financ leas work capit loan compani 's offer benefit equip manufactur distributor well direct busi nationwid,Term loans,Term loans,50.70422535211267
276,financi servic fintech insur point sale financi servic fintech insur point sale octan lend offer point sale financ insur platform nich consum market octan lend point sale financ platform focus nich consum lend market,Lead generation platform,Others,50.70422535211267
64,financi servic financi servic even financi suppli side platform ssp marketplac lend base new york citi even financi suppli side platform fast grow marketplac lend p2p market initi mission bring better qualiti borrow marketplac lend ecosystem believ strong loan product everyon marketplac lend grow better data help lender see borrow credit score,Lead generation platform,Personal loans,50.70422535211267
103,fintech real time fintech real time lendedu help consum compar person financ product lendedu.com onlin marketplac person financ product lendedu.com launch novemb 2014 marketplac student loan refinanc sinc compani expand product includ student loan person loan bank product insur product invest product auto loan credit card lendedu.com free servic consum,Lead generation platform,Others,50.70422535211267
52,"financi servic internet marketplac financi servic internet marketplac biz2credit hub connect small busi owner lender servic provid seek solut base onlin profil biz2credit www.biz2credit.com connect small busi owner lender servic provid thus empow effect compet big compani enhanc servic product grow enterpris biz2credit match small busi credit solut base onlin profil complet less five minut safe effici price-transpar environ biz2credit network consist 50,000 user 300 lender credit rate agenc equifax broker includ bizbuysel major small busi servic provid hp biz2credit top financ resourc entrepreneur magazin 2009 compani process 3,000 loan applic month facilit 400 million fund sinc 2007 registr free howev biz2credit also offer vari level subscript servic includ phone support case manag assist borrow entir lend process start initi applic form end day loan close biz2credit recent introduc free bizanalyzer??????? app android http //bit.ly/hlmwbl use inform credit rate agenc dun bradstreet bizanalyz provid free financi check-up small busi owner make loan applic process effici enabl borrow download review credit score tool benchmark risk assess small busi owner lend criteria 300 financi institut risk profil industri peer factor credit rate ultim impact credit decis lender biz2credit suggest best loan option possibl",Lead generation platform,Others,50.70422535211267
175,financi servic financi servic onlin offlin customis financi servic solut busi lead financi product distributor india focus serv individu smes corpor customers.they decod financi jargon make thing simpl understand consumers.they larg distributor compel presenc onlin offlin focus provid custom accur inform best financi advic consequ appropri product relev need,Lead generation platform,Others,50.70422535211267
141,financi servic fintech inform technolog internet mobil mobil app financi servic fintech inform technolog internet mobil mobil app omni prime fintech compani offer credit blue collar china via mobil app `` paymax '' omni prime provid micro loan servic underbank custom buy smart phone within 15 minut complex risk evalu system app ???paymax??? paymax focus china??? blue-collar servic industri worker paymax applic could purchas smart phone valu month earn octob 2014 omni prime secur us 15 million seri led sequoia capita ce yuan ventur juli 2015 omni prime secur signific seri b team member omni prime solid work experi includ sequoia capit china microsoft googl autodesk top invest institut silver valley lead chines bank founder strong academ background stanford tsinghua univers nanj univers fudan univers shanghai jiaotong univers,Purchase Financing ,Personal loans,50.70422535211267
182,financi servic fintech travel financi servic fintech travel payment plan flight departur airford payment plan airlin ticket airford allow user secur ticket deposit upfront pay remain balanc bi-week recur payment departur date,Purchase Financing ,Personal loans,50.70422535211267
188,consum lend credit financi servic consum lend credit financi servic greenski offer fast paperless solut financi servic busi size easi way offer financ everyon anywher easi busi size offer credit custom fast paperless solut,Purchase Financing ,Personal loans,50.70422535211267
195,consum lend financi servic fintech payment consum lend financi servic fintech payment affirm financi technolog servic compani offer instal loan consum point sale base san francisco california affirm financi servic compani offer instal loan consum point sale aim improv bank industri account access consum found 2012 affirm let shopper pay purchas across multipl month transpar fairly-pr fee built everi payment increas convers basket size e-tail less cost credit card,Purchase Financing ,Personal loans,50.70422535211267
264,consum financi servic fintech payment consum financi servic fintech payment microf??? first-to-market rto product provid unmatch flexibl consum microf relationship-bas compani give prioriti want need custom offer rental purchas financ option wide rang consum innov rent-to-own strategi provid flexibl consum limit declin quick respons time multipl payment option various contract term choic microf establish 2010 accommod grow demand flexibl option replac residenti heat cool system,Purchase Financing ,Personal loans,50.70422535211267
273,credit card financi servic mobil credit card financi servic mobil blispay financi technolog compani pioneer next generat point-of-sal financ blispay creat cost-effect streamlin in-stor financ experi market blispay visa card mobil centric credit card industri allow merchant size provid financ without technic integr financi oblig custom get enjoy instant issuanc 6 month special financ 2 cash back first product everyday credit financ solut custom deserv merchant need found team consist experienc industri veteran compani includ bill later paypal bank america mbna microsoft zynga we???r proud first product excit bring innov transpar fair bank product market futur appli today www.blispay.com join team email job blispay.com follow us twitter facebook stay date latest news,Purchase Financing ,Personal loans,50.70422535211267
225,"agricultur farm financi servic agricultur farm financi servic nongfenqi rural internet financ servic platform nongfenqi rural internet financ servic platform.run nanj nongfenqi e-commerc co. ltd. provid instal payment servic larg farm group collabor commune agricultur equip purchas compani provid servic 20,000 client far report ad",Purchase Financing ,Personal loans,50.70422535211267
156,"account collect credit payment saa small medium busi softwar account collect credit payment saa small medium busi softwar fundingg ar platform provid receiv manag solut busi receiv fundingg world-class all-in-on ar manag platform provid solut stage compani 's receiv cycl built peopl oper ran financi depart medium fortun 1,000 compani first-hand experi import effect ar manag time 's largest line item compani 's balanc sheet -- manag proper compani bound struggl seek short-term financ n't solv inher problem 's expens render control custom relationship 3rd parti forc compani viscous debt cycl truth 's better healthier afford way acceler cash flow manag ar right way key current account erp system built manag ar current softwar product clunki archaic pain use result busi resort excel spreadsheet pen paper manag ar fundingg all-in-on ar platform differ 's design provid faster smoother much effect way manag ar give compani solut need one central place softwar automat priorit outstand custom account creat workflow call email payment option yield highest roi -- time save order-to-cash perspect decis platform entir data-driven allow bullet-proof ar process -- essenti climb `` payment prioriti list '' custom fundingg ar platform optim success -- team ar specialist continuosli monitor client 's ar perform provid insight action recommend client also option ar specialist handl entir ar manag process give full visibilti control real time ar manag activ",Working Capital ,Personal loans,50.70422535211267
