,Test_document,Expected_result,decision_model_0,decision_model_0_accuracy
97,consum lend financi servic home improv lend person financ consum lend financi servic home improv lend person financ lendingpoint lead onlin direct loan provid lendingpoint lead onlin direct loan provid commit redefin abl access money fair rate empow consum build financi momentum lendingpoint??? award-win leadership team hold intellectu patent uniqu model data credit score commit customer-cent excel compani better busi bureau accredit compani,Personal loans,Personal loans,40.54054054054054
177,financ financi servic fintech risk manag financ financi servic fintech risk manag lqd busi financ chicago-bas technology-en compani provid small medium size busi structur loan lqd busi financ chicago-bas technology-en compani provid small medium size busi structur loan compani develop whole-busi financ solut singl loan product meet aspect business??? financ requir acquisit work capit purchas order refinanc solut lqd busi financ generat revenu percent clients??? loan amount evalu risk potenti loan use proprietari risk manag back softwar known lqd matrix,Term loans,Working Capital ,40.54054054054054
159,consum research credit financi servic consum research credit financi servic proprietari process call adapt risk price ascend empow consum prove real-tim creditworthi proprietari process call adapt risk price ascend empow consum prove real-tim creditworthi,Personal loans,Personal loans,40.54054054054054
12,financ financ prome healthcar financ altern invest compani special medic practic healthcar busi prome healthcar financ former promac found 2007 headquart hauppaug ny prome healthcar financ first financ compani fund type electron payment proceed ach eft credit card receipt e-check process recur debit arc back offic convers,Term loans,Personal loans,40.54054054054054
154,crowdfund financ financi servic crowdfund financ financi servic i2ifund onlin marketplac connect borrow look person loan investor look altern invest i2i peer-to-p p2p marketplac connect borrow lender unsecur loan use gamut reason like purchas consum durabl debt consolid i.e repay credit card debt etc medic expens educ expens cash cycl optim etc entir credit process transpar quick easi apart provid end end servic i2i dilig use unconvent data point borrow like educ employ transact salari social network etc sole depend cibil score lend recommend help investor greater understand borrow 's riski lead better credit decis,Personal loans,Term loans,40.54054054054054
179,"financi servic financi servic fast afford onlin loan base equiti car finova financi social respons lender provid fast afford loan base equiti car 70 million financi underserv american spend 138 billion fee interest annual finova??? car equiti line credit c-loc cost 70 less current nation averag provid instant access capit 12-month pathway back financi health onlin mobil anywher 24/7 finova client benefit abil complet loan process onlin instant approv decis day cash fund finova client portal provid person access financi dashboard allow real time manag financi health payment made conveni comput mobil devic 32,000 us retail locat success payment histori provid declin rate opportun establish build credit along access addit fund demand finova provid immedi solut clients??? credit need abil monitor progress real time coupl finova??? ongo financi educ provid pathway improv econom health finova c-loc first mani digit financi servic product launch address unfulfil need financi underserv american finova busi relationship transact client tell us finova first posit relationship financi servic provid passion drive us forward",Personal loans,Personal loans,40.54054054054054
264,consum financi servic fintech payment consum financi servic fintech payment microf??? first-to-market rto product provid unmatch flexibl consum microf relationship-bas compani give prioriti want need custom offer rental purchas financ option wide rang consum innov rent-to-own strategi provid flexibl consum limit declin quick respons time multipl payment option various contract term choic microf establish 2010 accommod grow demand flexibl option replac residenti heat cool system,Purchase Financing ,Personal loans,40.54054054054054
192,financi servic onlin auction peer peer financi servic onlin auction peer peer firstp2p chines onlin peer-to-p p2p financ site first p2p limit onlin financ marketplac match borrow investor compani base china,Term loans,Working Capital ,40.54054054054054
34,financi servic financi servic edai compani found 2006 exist onlin brick-and-mortar offic china edai financi servic compani china focus p2p lend well tradit loan free loan consult,0,Personal loans,40.54054054054054
303,bank financi servic fintech softwar bank financi servic fintech softwar insikt reinvent world fintech revolutionari platform enabl brand lend custom lend servic insikt sprung realize brand bank lender tomorrow tradit bank littl interest make small person loan n't kept fast-pac world technolog unequip har power data evolv world financ insikt 's uniqu data driven technolog combin notabl stride fintech reinvent world lend bring credit opportun mass social media technolog creat new relationship consum tomorrow??? lender media giant retail everyday brand offer custom path financi mainstream believ remark platform handl score servic technolog capit futur lend ???lend servic '' describ process put power provid fair price credit-build person loan direct hand brand seek deepen bond custom stay tune re get start,Others,Personal loans,40.54054054054054
