,domain_name,Test_document,Expected_result,decision_model_9,decision_model_9_accuracy
58,321lend.com,fintech person financ ventur capit fintech person financ ventur capit 321lend inc. form earli 2014 san francisco ca three experienc profession financ technolog manag 321lend inc. form earli 2014 san francisco ca three experienc profession financ technolog manag consult founder graduat uc berkeley work hedg fund start-up technolog consult firm goal 321lend build onlin financi communiti connect creditworthi borrow savvi investor order facilit better lend rate lower loan default rate continu innov web applic busi strategi compani made signific progress build platform lay foundat launch busi compani current near complet fund abl oper peer peer lend platform though peer-to-p lend industri one fastest grow industri us estim 5b cagr 100 still cover 1 total credit card market 669b sinc 321lend found march 2014 compani achiev follow complet front end websit attract potenti borrow lender near complet back end platform autom transact built proprietari interest rate model prepar complianc document fcra fdca tila ecoa other secur relationship bank partner origin loan final discuss credit rate agenc front end websit launch http //www.321lend.com receiv numer inquir lender borrow,Personal loans,Term loans,43.83561643835616
99,loanbaba.com,"financi servic fintech financi servic fintech loanbaba.com oper consum lend marketplac base mumbai india loanbaba.com oper consum lend marketplac home person car busi loan user find compar packag rate partner bank select one also get applic process faster ad salari slip incom tax return sheet found 2014 loanbaba.com rais 320,000 angel round fund use technolog enhanc market",Lead generation platform,Others,43.83561643835616
104,tiendapago.com,fintech fintech digit platform let small retail emerg market financ consum good enabl mobil cashless payment,Working Capital ,Personal loans,43.83561643835616
297,digilend.in,financi servic financi servic digilend analyt technolog marketplac enabl individu like avail unsecur person loan digilend marketplac enabl individu like avail unsecur person loan differ need like educ travel holiday wed home improv debt consolid emerg need etc need cash loan bank loan look provid onlin instant quick loan competit interest rate digilend??? endeavour make get loan easier onlin instant credit evalu connect right lender provid everyon easi conveni access credit,Personal loans,Lead generation platform,43.83561643835616
2,billmelater.com,credit e-commerc payment credit e-commerc payment bill later paypal servic enabl custom purchas product without provid credit card detail bill later inc. provid payment market technolog solut multichannel retail offer paycaptur set credit tool bill later enabl custom pay purchas without provid credit card inform compani support deliv suit web-engin payment solut offer consult servic area payment risk manag market technolog bill later inc. former known i4 commerc inc. chang name bill later inc. august 2007 compani found 2000 base timonium maryland novemb 7 2008 bill later inc. oper subsidiari ebay inc,Purchase Financing ,Purchase Financing ,43.83561643835616
268,ezcred.in,ezcr new age technolog base consum lend platform ezcr new age technolog base consum lend platform 's look reach borrow look consum loan match lender best fit transact borrow need loan,Purchase Financing ,Lead generation platform,43.83561643835616
102,lenda.com,financ real estat financ real estat lenda onlin platform enabl individu refin home loan onlin lenda former gorefi onlin platform enabl individu refin home loan onlin user get real time quot submit applic verifi upload document close loan lenda found jason van den brand elijah murray 2011,Others,Term loans,43.83561643835616
307,canada-payday-loans.com,instant approv onlin payday loan servic canada canada-payday-loan fastest grow onlin payday loan firm canada.w complet understand financi need determin serv best.canada-payday-loan offer hassl free onlin payday loan servic charg fees.your loan approv responsibility.open 24 hour,Personal loans,Others,43.83561643835616
286,qbera.com,financi servic financi servic qbera manag marketplac unsecur person loan qbera manag marketplac unsecur person loan leverag tech-en acquisit underwrit loan process capabl offer credit product co-creat bank part qbera 's multi-lend network origin asset bank??? liabil perform hybrid lend model wherein qbera share risk bank bank nbfcs plug balanc sheet qbera tap new custom segment use qbera??? programmat lend solut benefit lower oper expens data-driven underwrit credit decis reduct turnaround time cost custom acquisit proven technolog increas profit qbera capabl across lend lifecycl 1 acquisit omni-channel borrow sourc funnel tap best-in-class digit acquisit strategi tech-en offlin partner oper lending-as-a-servic laa model custom acquisit partner enabl offer credit product custom 2 underwrit valid risk strategi scorecard host sophist data-driven rule engin extend access credit salari employe 7 lakh compani 3 fulfil paper-less deliveri loan digit verif resid incom employ major borrow 4 servic proprietari loan manag system lms power custom relationship manag platform automated/self-servic along dedic contact center team 5 collect data-driven earli warn system track provid flexibl stress borrow remain financi buoyant,Personal loans,Personal loans,43.83561643835616
63,lantouzi.com,bank financi servic secur bank financi servic secur lantouzi.com offer secur invest bank platform internet compani financi institut lantouzi.com onlin invest bank platform help small- medium-s enterpris fulfil busi financ need launch 2014 base beij china,Term loans,Term loans,43.83561643835616
