,Test_document,Expected_result,multinomial_model_5,multinomial_model_5_accuracy
179,"financi servic financi servic fast afford onlin loan base equiti car finova financi social respons lender provid fast afford loan base equiti car 70 million financi underserv american spend 138 billion fee interest annual finova??? car equiti line credit c-loc cost 70 less current nation averag provid instant access capit 12-month pathway back financi health onlin mobil anywher 24/7 finova client benefit abil complet loan process onlin instant approv decis day cash fund finova client portal provid person access financi dashboard allow real time manag financi health payment made conveni comput mobil devic 32,000 us retail locat success payment histori provid declin rate opportun establish build credit along access addit fund demand finova provid immedi solut clients??? credit need abil monitor progress real time coupl finova??? ongo financi educ provid pathway improv econom health finova c-loc first mani digit financi servic product launch address unfulfil need financi underserv american finova busi relationship transact client tell us finova first posit relationship financi servic provid passion drive us forward",Personal loans,Personal loans,55.4054054054054
156,"account collect credit payment saa small medium busi softwar account collect credit payment saa small medium busi softwar fundingg ar platform provid receiv manag solut busi receiv fundingg world-class all-in-on ar manag platform provid solut stage compani 's receiv cycl built peopl oper ran financi depart medium fortun 1,000 compani first-hand experi import effect ar manag time 's largest line item compani 's balanc sheet -- manag proper compani bound struggl seek short-term financ n't solv inher problem 's expens render control custom relationship 3rd parti forc compani viscous debt cycl truth 's better healthier afford way acceler cash flow manag ar right way key current account erp system built manag ar current softwar product clunki archaic pain use result busi resort excel spreadsheet pen paper manag ar fundingg all-in-on ar platform differ 's design provid faster smoother much effect way manag ar give compani solut need one central place softwar automat priorit outstand custom account creat workflow call email payment option yield highest roi -- time save order-to-cash perspect decis platform entir data-driven allow bullet-proof ar process -- essenti climb `` payment prioriti list '' custom fundingg ar platform optim success -- team ar specialist continuosli monitor client 's ar perform provid insight action recommend client also option ar specialist handl entir ar manag process give full visibilti control real time ar manag activ",Working Capital ,Personal loans,55.4054054054054
366,welcom invest crowd-fund platform,Term loans,Term loans,55.4054054054054
309,financi servic financi servic ascentium capit independ equip financ compani ascentium capit llc special provid broad rang financ leas work capit loan compani 's offer benefit equip manufactur distributor well direct busi nationwid,Term loans,Term loans,55.4054054054054
291,financi servic financi servic qbera manag marketplac unsecur person loan qbera manag marketplac unsecur person loan leverag tech-en acquisit underwrit loan process capabl offer credit product co-creat bank part qbera 's multi-lend network origin asset bank??? liabil perform hybrid lend model wherein qbera share risk bank bank nbfcs plug balanc sheet qbera tap new custom segment use qbera??? programmat lend solut benefit lower oper expens data-driven underwrit credit decis reduct turnaround time cost custom acquisit proven technolog increas profit qbera capabl across lend lifecycl 1 acquisit omni-channel borrow sourc funnel tap best-in-class digit acquisit strategi tech-en offlin partner oper lending-as-a-servic laa model custom acquisit partner enabl offer credit product custom 2 underwrit valid risk strategi scorecard host sophist data-driven rule engin extend access credit salari employe 7 lakh compani 3 fulfil paper-less deliveri loan digit verif resid incom employ major borrow 4 servic proprietari loan manag system lms power custom relationship manag platform automated/self-servic along dedic contact center team 5 collect data-driven earli warn system track provid flexibl stress borrow remain financi buoyant,Personal loans,Personal loans,55.4054054054054
265,e-commerc fintech share economi e-commerc fintech share economi iban crowdlend financi compani aim deliv better deal saver borrow iban first global fintech guarante fund lend us allow support social project financi secur iban verg lead huge improv global crowdlend model aim deliv better deal saver borrow care money,Others,Personal loans,55.4054054054054
108,"financ financi servic fintech financ financi servic fintech nation fund financi technolog solut busi nationwid provid capit financ merchant servic found 1999 nation fund one countri 's lead financi technolog compani small medium-s busi provid work capit loan equip financ merchant cash advanc credit card process nation fund provid 1 billion capit 20,000 busi nationwid compani believ american small busi owner strive provid fast turnaround flexibl solut great servic custom client divers rang industri includ automot construct excav manufactur retail packag print restaur telecommun truck wast manag among other compani recogn inc. 500 5000 list past three year well one san diego busi journal??? fastest grow compani past three year",Working Capital ,Term loans,55.4054054054054
45,financ publish ventur capit financ publish ventur capit open book ben altern tradit busi credit bureau open book ben altern tradit busi credit bureau build on-lin communiti small medium-s busi `` '' smbs '' '' collabor share creditworthi busi intellig system beta sever financi institut compani use feedback ben democrat access creditworthi type import busi data smbs struggl near everi aspect busi credit exist credit bureaus often fail score smbs accur small firm even show databas sinc afford solut busi credit data smbs suffer huge write off 64 billion last year ben solut problem discuss platform attract altern credit bureaus ben also offer power market lead gen tool also offer greatly-need smb suppli chain tool `` '' vendor worth '' '' score help smbs assess qualiti b2b vendor,Others,Others,55.4054054054054
91,financi servic machin learn person financ financi servic machin learn person financ simplycredit mission transform consum lend known today simplycredit mission transform consum lend known today believ right consum fee penalti price gotcha fine print want bring saniti back lend stand behind underwrit make sure consum get valu servic deserv use advanc technolog creat credit lend innov line valu deliv seamless custom experi,Personal loans,Personal loans,55.4054054054054
51,financi servic fintech marketplac peer peer financi servic fintech marketplac peer peer monexo onlin marketplac peer-to-p lend bring togeth lender borrow creat win-win monexo oper onlin peer-to-p lend marketplac small busi employe platform origin borrow lender onlin offlin sale market channel use proprietari screen system review borrow various financi non-financi paramet provid loan offer borrow agre loan offer list marketplac lender view fund allow borrow receiv 48 month futur rental incom subsequ assign rental incom lender launch 2014 monexo oper hong kong china,Personal loans,Personal loans,55.4054054054054
294,asset manag financi servic lend asset manag financi servic lend iqianbang help make money onlin invest financi platform invest financi user loan user iqianbang help make money onlin invest financi platform invest financi user loan user end provid fair transpar safe effici network loan manag servic,Working Capital ,Personal loans,55.4054054054054
230,e-commerc financi servic fintech e-commerc financi servic fintech krazybe india-bas e-commerc web app enabl user order product onlin retail differ pay scheme conveni connect bridg colleg go youth india wonder dream aspir,Purchase Financing ,Personal loans,55.4054054054054
61,credit financi servic marketplac credit financi servic marketplac finrek solut onlin loan marketplac match lender borrow base prefer finrek solut privat limit onlin loan marketplac provid user hybrid online-offlin model match lender borrow base prefer finrek solut privat limit launch 2014 base jaipur rajasthan,Lead generation platform,Term loans,55.4054054054054
164,financi servic inform technolog mobil app financi servic inform technolog mobil app consult compani system need custom opensourc erp execut implement spiderg platform busi electron transact communic vendors/suppli custom get action inform busi suppli chain,Working Capital ,Others,55.4054054054054
21,e-commerc financ small medium busi e-commerc financ small medium busi ipawn e-commerc compani enabl consum obtain short-term asset-bas loan ipawn transform nation credit market offer short-term afford loan competit rate less risk bank payday lender brick mortar pawn shop onlin servic headquart tyler texa ipawn hold pawn licens issu offic consum credit commission inform pleas visit www.ipawn.com,Term loans,Personal loans,55.4054054054054
266,auction financi servic franchis small medium busi auction financi servic franchis small medium busi fund wonder busi loan exchang bring togeth investor franchis seek loan sec regist portal fund wonder busi loan exchang offer opportun invest loan franchis busi franchis industri grow faster economi whole collect account 890 billion econom output fund wonder empow investor busi achiev financi goal bring togeth trust sec regist portal interact transact accredit non-accredit investor invest debt secur busi proven franchis model certifi fund wonder return princip interest month payment franchis busi owner turn gain access vital altern sourc capit,Term loans,Term loans,55.4054054054054
1,credit financ internet marketplac credit financ internet marketplac apnaloan onlin marketplac provid home loan person loan credit card custom india apnaloan onlin marketplac home loan person loan credit card india idea apnaloan bank compet loan turn mean get better rate compani say apnaloan `` largest onlin marketplac loan credit card '' http //www.dialabank.com/emi-calculator.cfm,Lead generation platform,Personal loans,55.4054054054054
341,artifici intellig credit lend artifici intellig credit lend optacredit artifici intelligence-pow data-driven onlin lender optacredit artifici intellig power data-driven onlin lender employe work organis partner us driven abil use data underwrit provid short term unsecur loan employe everi elig applic right get access time credit belief base truli understand applic assimil data various sourc ?? ? public privat rather profil within meaningless categori believ applic ratio number uniqu credit servic platform allow firm two prong advantag one provid firm partner us abil unleash true potenti make optimum use work capit two employe welfar scheme avail firm zero cost,Working Capital ,Personal loans,55.4054054054054
89,financ financ rateg onlin mortgag marketplac borrow bank set rate will pay home loan rateg lead mortgag marketplac mobil web user easili connect reput lender meet need negoti lowest possibl interest rate rateg bid platform,Others,Others,55.4054054054054
62,financ lend marketplac real estat real estat invest financ lend marketplac real estat real estat invest nation mortgag lender focus need experienc local expert residenti investor simpli put thrive real estat togeth parent compani econohom we???v bought sold financ 240 million home nationwid unlik lender know like skin game understand uniqu need residenti investor draw year experi distress properti field craft loan product four word mind fast simpl flexibl depend know real estat invest take certain amount initi spirit risk-tak it??? everyon we???r passion help peopl like achiev short-term long-term invest goal it??? reason start vfs four year ago oper 36 state continu grow success success,Others,Term loans,55.4054054054054
228,rental rental properti servic industri rental rental properti servic industri instal payment platform hous rent,Personal loans,Personal loans,55.4054054054054
57,consum lend financ financi servic consum lend financ financi servic creditshop offer afford onlin loan simpl payment plan mani borrow find unsecur person loan reason interest rate extrem difficult often borrow forc consid lender charg high interest rate hefti fee request valuabl item collater creditshop consum qualifi interest rate rang 18 30 creditshop custom make month payment time never pay ongo transact fee late fee annual fee prepay fee reason creditshop loan might smart choic cost less mani consum,Personal loans,Personal loans,55.4054054054054
290,automot financ mobil automot financ mobil autogravity??? uniqu mobil platform deliv auto financ palm hand autograv fintech pioneer mission transform process financ car uniqu digit experi autograv partner world??? lead bank give consum direct control financ car smartphon offer simpl mobil platform autograv empow custom multipl loan offer network trust car dealerships.? headquart irvin ca autograv found team digit nativ industri veterans.? learn visit www.autogravity.com follow autogravityhq twitter,Others,Others,55.4054054054054
209,financi servic fintech financi servic fintech indialend digit lend borrow marketplac indialend digit lend borrow marketplac connect consum small busi look low rate loan institut lender look good return avail web mobil compani also provid value-add servic big-data analyt credit risk assess verif autom work-flow loan origin manag lender borrow appli unsecur person loan onlin get access credit report free manag daili spend via indialend mobil app launch 2015 compani base new delhi india,Personal loans,Personal loans,55.4054054054054
287,financi servic financi servic loantap fintech compani dna constitu loantap onlin platform commit deliv flexibl loan product salari profession innov otherwis dull loan segment deliv smart product millenni idea use technolog build flexibl product without ad cost,Working Capital ,Personal loans,55.4054054054054
243,financi servic fintech financi servic fintech help take charg credit health get free credit score onlin get free credit health analysi cibil equifax report creditmantri india focuss digit credit facilit intent leverag power technolog digit medium empow borrow lender make effici credit decis consum servic creditmantri help user understand status credit health build credit profil user 's credit profil creat data user 's credit histori score bureau enhanc data altern data sourc base individu 's credit profil consum 's guid toward solut best match profil discoveri loan credit card credit improv servic lender servic creditmantri offer rang lender specif servic includ 1 marketplac list credit product 2 solut help lender offer product new credit user enabl instant credit decis use altern data 3 verif servic creditmantri work 30 lender make avail close 50 credit product servic,Others,Personal loans,55.4054054054054
319,fintech fintech onlin person lend platform onlin person lend platform strive provid faster simpler safer borrow experi consum,Personal loans,Personal loans,55.4054054054054
