,Test_document,Expected_result,knn_model_7,knn_model_7_accuracy
33,financ fintech financ fintech quarterspot onlin lend platform offer small busi work capit quarterspot onlin lend platform offer credit-starv small busi work capit attract rate term acceler access capit use advanc technolog enabl instant underwrit approv same-day close repay investor littl 24 hour contact info quarterspot.com inform,Term loans,Working Capital ,57.74647887323944
86,crowdfund small medium busi crowdfund small medium busi mission lead communiti capit transform mission lead communiti capit transform investnextdoor creat first community-engag capit marketplac marketplac creat new sourc reason price capit small busi better return main street investor longev community-bas bank credit union focus communiti first amplifi econom effect consum invest small busi keep benefit borrow lifecycl within given communiti educ access transpar fair core valu start investnextdoor believ us borrow invest model broken ve hit reset button start fresh go back basic ve made better ve made social fun impact re brand new kind financi servic compani ve alreadi made thing better,Term loans,Term loans,57.74647887323944
339,nation??? lead financi servic firm connect merchant divers experienc privat busi lender,Term loans,Term loans,57.74647887323944
75,commerci real estat crowdfund real estat commerci real estat crowdfund real estat acquir real estat crowdfund platform accredit investor pre-fund co-invest sole institutional-qu deal acquir real estat lead real estat crowdfund platform one platform pre-fund deal acquir focus cash-flow institutional-qu real estat deal co-invest everi properti right alongsid member learn www.acquirerealestate.com,Term loans,Term loans,57.74647887323944
183,financ fintech lend financ fintech lend fundat onlin direct lender offer simpl interest small busi loan compani technolog driven process bank offer busi loan fundat offer busi loan faster fundat altern lender provid small busi loan fix rate simpl interest technolog streamlin small busi loan applic process collect third parti data autom major credit review process deliv fund quick possibl leader altern busi financ understand everi busi uniqu specif need fundation??? custom small busi loan ensur receiv appropri term payment option specif industri company??? need provid follow industry-specif small busi fund solut ??? auto repair shop loan ??? gas station loan ??? day care center fund ??? medic practic loan ??? chiropract busi loan ??? dental practic loan ??? physician practic loan ??? veterinari practic financ ??? health care busi loan ??? hotel motel financ ??? restaur loan ??? pharmaci loan ??? law firm financ ??? insur agenc financ ??? vineyard breweri financ ??? liquor store financ ??? funer home financ ??? self-storag financ whether need busi expans loan cash flow financ work capit loan fundat small busi financ solut help compani achiev goal also offer inventori loan help keep busi fulli stock refin loan help repay exist loan acquir better term interest rate matter use altern busi loan fundat expect support throughout entir small busi financ process custom relationship manag work close understand uniqu situat find best fund solut compani continu support long run reach goal contact fundat inform appli small busi loan today,Term loans,Term loans,57.74647887323944
53,crowdfund real estat crowdfund real estat real estat crowdfund brand hotel asset equityroot engag real estat crowdfund specif franchis hotel asset marriott hilton ihg starwood hyatt brand passiv investor find reward invest opportun asset class equityroots.com,Term loans,Term loans,57.74647887323944
361,financ financi servic person financ financ financi servic person financ trustleaf onlin platform enabl early-stag entrepreneur crowdfund ventur friend famili trustleaf onlin platform enabl early-stag entrepreneur crowdfund ventur friend famili small busi owner leverag social capit rais capit lender also get legal protect loan famili member??? word trustleaf offer featur auto-gener custom promissori note onlin signatur email remind updat repay quick loan builder trustleaf launch august 2013 anson liang daniel lieser base sunnyval california usa,Term loans,Others,57.74647887323944
40,collabor consumpt crowdfund financ collabor consumpt crowdfund financ lendsquar onlin platform allow small busi financ growth borrow money custom communiti lendsquar help peopl invest small busi neighborhood lend money community-focus approach advantag tradit sourc ofcredit 's cheaper busi strengthen communiti bond allow individu invest place understand love,Term loans,Term loans,57.74647887323944
69,financ fintech peer peer financ fintech peer peer ppdai onlin platform peer-to-p small unsecur loan china ppdai onlin platform peer-to-p small unsecur loan china build safe high-perform honest network platform creativ technolog ideal ppdai standard person behavior debit credit bring return lender borrow ppdai found august 2007 founder well known compani,Term loans,Personal loans,57.74647887323944
315,consum lend credit financ financi servic consum lend credit financ financi servic cointrib onlin lend marketplac provid small busi salari individu way get funds/capit cointrib oper onlin lend marketplac enabl small busi salari individu get fund capit company??? servic enabl compani appli busi person loan websit mobil applic cointrib found amit sachdev rohit lohia 2015 headquart gurgaon india,Term loans,Working Capital ,57.74647887323944
66,bank financi servic wealth manag bank financi servic wealth manag onlin access curat invest opportun growth-stag compani i-bank direct oper onlin equiti debt fund platform www.ibankers.com allow individu investor institut access proprietari invest opportun curat select privat public emerging-growth compani,Term loans,Personal loans,57.74647887323944
12,financ financ prome healthcar financ altern invest compani special medic practic healthcar busi prome healthcar financ former promac found 2007 headquart hauppaug ny prome healthcar financ first financ compani fund type electron payment proceed ach eft credit card receipt e-check process recur debit arc back offic convers,Term loans,Personal loans,57.74647887323944
213,credit financ financi servic small medium busi credit financ financi servic small medium busi ondeck technology-en financi platform provid loan financ small- medium-s busi ondeck technology-en financi platform provid loan financ small- medium-s busi compani use proprietari softwar aggreg data business??? oper process algorithm determin loan elig ondeck found 2006 base new york citi unit state,Term loans,Term loans,57.74647887323944
101,"financi servic fintech financi servic fintech loanbaba.com oper consum lend marketplac base mumbai india loanbaba.com oper consum lend marketplac home person car busi loan user find compar packag rate partner bank select one also get applic process faster ad salari slip incom tax return sheet found 2014 loanbaba.com rais 320,000 angel round fund use technolog enhanc market",Lead generation platform,Personal loans,57.74647887323944
175,financi servic financi servic onlin offlin customis financi servic solut busi lead financi product distributor india focus serv individu smes corpor customers.they decod financi jargon make thing simpl understand consumers.they larg distributor compel presenc onlin offlin focus provid custom accur inform best financi advic consequ appropri product relev need,Lead generation platform,Term loans,57.74647887323944
120,e-commerc e-commerc platform marketplac e-commerc e-commerc platform marketplac credit nation india 's lead onlin marketplac provid easi comparison best interest rate loan credit nation india 's lead onlin marketplac provid easi comparison best interest rate loan great custom servic,Lead generation platform,Lead generation platform,57.74647887323944
219,credit financi servic fintech credit financi servic fintech mortgag get whole lot easier hi re maxwel we???r mission revolution 8.5t residenti mortgag market reimagin loan offic work togeth homebuy real estat agent buy home connect network one seamless intuitively-design platform focus isn???t paperwork it??? place call home,Lead generation platform,Others,57.74647887323944
117,"consum financi servic point sale retail consum financi servic point sale retail loanhero provid financ import thing life empow merchant extend instant financ point sale loanhero provid financ import thing life whether it??? medic procedur cover insur new roof we???r cover expens 1,000 innov financ platform empow merchant extend instant financ point sale multipl lender simpl applic consum receiv best loan product regardless credit loanhero fastest grow player retail financ platform partner credit union creat better lend option consum hero join forc loanhero",Lead generation platform,Purchase Financing ,57.74647887323944
123,fintech fintech slicepay secur payment platform let colleg student shop onlin offlin store without pay everyth upfront buddi indian fintech startup offer digit credit vault student bangalor abl buy borrow credit pay back time use concept credit card student abl choos checkout pay back later end month also allow user buy product easi fix month instal,Purchase Financing ,Others,57.74647887323944
301,consum lend custom servic financ financi servic fintech retail technolog ventur capit consum lend custom servic financ financi servic fintech retail technolog ventur capit vyze offer solut enabl retail offer payment option custom vyze financi technolog leader consum financ solut ncl help merchant launch implement innov lend program provid consum financ option want need ncl???s simpl solut deliv increas sale better consum financ experi give retail manufactur greater control lend option,Purchase Financing ,Purchase Financing ,57.74647887323944
354,smartpay lease-to-own payment plan let??? custom shop devic accessori smartpay leas technology-driven compani work lead wireless retail prepaid phone compani provid innov devic leas solut nationwid use softwar data analyt solv hard problem underwrit consum minim credit histori consum get devic want today pay time easi schedul payment,Purchase Financing ,Purchase Financing ,57.74647887323944
264,consum financi servic fintech payment consum financi servic fintech payment microf??? first-to-market rto product provid unmatch flexibl consum microf relationship-bas compani give prioriti want need custom offer rental purchas financ option wide rang consum innov rent-to-own strategi provid flexibl consum limit declin quick respons time multipl payment option various contract term choic microf establish 2010 accommod grow demand flexibl option replac residenti heat cool system,Purchase Financing ,Purchase Financing ,57.74647887323944
170,financi servic fintech mobil financi servic fintech mobil payjoy provid smartphone-en consum financ solut payjoy provid smartphone-en consum financ solut enabl custom purchas pay electron item time chang upfront purchas pay-as-you-go month instal company??? technolog lock devic unless month payment made improv custom payment rate offer financ solut smartphon wash machin tvs air condition bring middle-class lifestyl peopl around world compani found 2015 base saratoga california unit state,Purchase Financing ,Purchase Financing ,57.74647887323944
284,financ financi servic fintech financ financi servic fintech west creek financi found help consum obtain financ purchas good west creek financi found help consum obtain financ purchas good servic want time help merchant servic supplier increas sale provid financ today??? tough econom time mani credit-worthi consum find increas hard get approv financ tradit bank financ compani tighten credit requir west creek??? founder deep lend expertis previous made signific credit risk improv largest us financi institut passion ensur custom store enabl get merchandis want,Purchase Financing ,Purchase Financing ,57.74647887323944
135,energi effici financi servic fintech renew energi energi effici financi servic fintech renew energi figtre ondemandpac program provid pace figtre financ provid client program facilit capit environment friend product servic san diego california-bas clean energi financ compani also offer pace financ support commerci properti owner improv properti lower util bill energi effici renew energi water conserv upgrad found 2010 mahesh shah figtre financ special smart invest energi save emiss reduct properti owner focus small commerci market struggl keep pace linear growth residenti solar,Purchase Financing ,Others,57.74647887323944
328,iou financi focus provid small busi invest loan advisori servic fund 200 million small busi loan iou financi experi help busi get need offic world knowledg flexibl get busi capit need seiz growth opportun help realiz potenti,Working Capital ,Working Capital ,57.74647887323944
287,financi servic financi servic loantap fintech compani dna constitu loantap onlin platform commit deliv flexibl loan product salari profession innov otherwis dull loan segment deliv smart product millenni idea use technolog build flexibl product without ad cost,Working Capital ,Lead generation platform,57.74647887323944
115,financ fintech wealth manag financ fintech wealth manag net short financi wealth belong long-billion beij invest,Working Capital ,Personal loans,57.74647887323944
314,risk manag risk manag cgtz,Working Capital ,Working Capital ,57.74647887323944
50,internet softwar internet softwar data driven inventori financ hardwar compani kickpay transform hardwar compani financ inventori leverag client 's data kickpay enabl access financ previous unavail allow grow faster,Working Capital ,Working Capital ,57.74647887323944
168,busi develop financ fintech market research busi develop financ fintech market research neogrowth credit pvt ltd non-deposit take nbfc regist rbi provid short term busi loan indian merchant neogrowth oper non-bank financi compani india focus meet financi need small busi sell good servic consum offer busi financ servic small- medium-s retail compani sell apparel consum durabl electron item footwear accessori handicraft gift food groceri item optic good well restaur beauti salon hotel gymnasium health diagnost center neogrowth began commerci oper 2013,Working Capital ,Working Capital ,57.74647887323944
352,enterpris softwar enterpris softwar skipton busi financ provid financi solut uk busi skipton busi financ provid financi solut uk busi core financi product invoic factor invoic discount,Working Capital ,Working Capital ,57.74647887323944
341,artifici intellig credit lend artifici intellig credit lend optacredit artifici intelligence-pow data-driven onlin lender optacredit artifici intellig power data-driven onlin lender employe work organis partner us driven abil use data underwrit provid short term unsecur loan employe everi elig applic right get access time credit belief base truli understand applic assimil data various sourc ?? ? public privat rather profil within meaningless categori believ applic ratio number uniqu credit servic platform allow firm two prong advantag one provid firm partner us abil unleash true potenti make optimum use work capit two employe welfar scheme avail firm zero cost,Working Capital ,Others,57.74647887323944
164,financi servic inform technolog mobil app financi servic inform technolog mobil app consult compani system need custom opensourc erp execut implement spiderg platform busi electron transact communic vendors/suppli custom get action inform busi suppli chain,Working Capital ,Purchase Financing ,57.74647887323944
222,develop platform financi servic wealth manag develop platform financi servic wealth manag onlin wealth manag platform guangzhou wanhui jinkong technolog co. ltd. own oper onlin peer-to-p lend platform compani found 2012 base guangzhou china,Working Capital ,0,57.74647887323944
98,consum lend educ financ consum lend educ financ skill fund student financ qualiti assur platform outcomes-bas skill train program goal simpl want build best financ tool best bootcamp student put togeth team leader student lend higher educ consum protect see great potenti bootcamp bring learn communiti student benefit great approach school,Others,Others,57.74647887323944
174,educ financ financi servic internet educ financ financi servic internet commonbond onlin lend platform connect borrow investor make educ financ better commonbond found lower cost higher educ innov model make possibl student save money student loan allow investor earn competit financi return,Others,Others,57.74647887323944
172,educ lend educ lend fund u prefer no-cosign fafsa non-fico base student lender hardwork career focus colleg student fund univers fund univers privat student lender serv hardwork career driven undergradu parent lender depend fico score cosign fund univers assess student??? credit worthi base career track amp post-colleg earn potenti fund u take applic waitlist next school year fund expand avail lend student nationwid learn visit? www.funding-university.com visit funding-university.com,Others,Others,57.74647887323944
252,"financi servic fintech person financ financi servic fintech person financ perfio softwar solut pvt ltd. offer end user track monitor manag person financ littl manual intervent perfio person financ one stop ?? ? www.perfios.com newag fintech compani provid innov solut person financ relat area b2c person financ manag pfm solut provid perfio offer 360 degre view one??? person financ autom way let end user track monitor manag financ littl manual intervent alreadi 5,00,000 regist user deploy 6 year perfio leverag core technolog autom key aspect certain common busi process financi institut perfio insight b2b solut use various bank nbfcs corpor autom entir process financi check verif extract kyc detail current manual done perfio insight help dramat improv turn-around time process applic loan credit card insur etc whether origin offlin onlin channel thus delight prospect client result entir oper process improv result lower cost higher accuraci superior user experi result increas user acquisit process involv financi verif underwrit benefit use perfio solut perfio support 1000+ differ type e-stat 250+ financi institut automat fetch platform b2c b2b solut use various bank nbfcs corpor well end user b2c solut",Others,Others,57.74647887323944
239,"big data credit financi servic inform technolog mobil softwar big data credit financi servic inform technolog mobil softwar tala mobil technolog data scienc compani revolution financi servic emerg market tala innov fast-pac mobil technolog start-up provid credit score report platform financi servic institut emerg countri tradit credit n't work emerg market mobil technolog unlock trillion dollar purchas power world??? fastest grow economi tala mobil technolog data scienc compani flip tradit credit score model put power hand newli empow consum emerg market mobil app uniqu channel gather averag 10,000 discret data point per user provid person offer deliv real-tim credit",Others,Others,57.74647887323944
337,consum point sale softwar consum point sale softwar mortgagebot h provid financi institut softwar facilit mortgag applic process mortgagebot llc industry-lead inc. 500 compani provid uniqu award-win mortgagebot powersite?? regist famili integr point-of-sal ipo solut take mortgag applic everi mortgag channel consumer-direct via internet branch call center profession loan offic mortgagebot blend extens mortgag experi leading-edg ?????? ? software-as-a-service??????? saa technolog creat scaleabl afford web site 900 mortgag lender nationwid,Others,Others,57.74647887323944
321,entrepreneuri financ lab help lender safe approv peopl entrepreneuri financ lab efl innov financial-technolog compani employ psychometr nontradit applic data creat credit score measur risk potenti among consum small busi efl??? altern score technolog enabl lender measur risk among applic information-scarc environ efl product earli harvard research recogn g-20 one innov approach sme financ global efl??? partner includ thirti retail mfi sme financi institut across dozen countri africa latin america south asia southeast asia inform pleas visit www.eflglobal.com,Others,Working Capital ,57.74647887323944
49,colleg recruit educ financi servic web develop colleg recruit educ financi servic web develop connect busi talent talent fund educ chang way fund educ train hire move past job site agenc us coderloan connect talent aspir coder compani look junior develop re student profession look career chang program help find right train program busi hire manag platform make easi identifi candid skill educ best match junior posit,Others,Others,57.74647887323944
139,consum lend fintech inform technolog consum lend fintech inform technolog bristlecon hold engin next generat financi technolog bristlecon develop technolog help busi evalu consum creditworthi autom approv algorithm look hundr differ custom data point leverag power machin learn issu immedi credit decis result truli person credit profil power tool help merchant grow busi,Others,Others,57.74647887323944
290,automot financ mobil automot financ mobil autogravity??? uniqu mobil platform deliv auto financ palm hand autograv fintech pioneer mission transform process financ car uniqu digit experi autograv partner world??? lead bank give consum direct control financ car smartphon offer simpl mobil platform autograv empow custom multipl loan offer network trust car dealerships.? headquart irvin ca autograv found team digit nativ industri veterans.? learn visit www.autogravity.com follow autogravityhq twitter,Others,Purchase Financing ,57.74647887323944
363,chariti chariti graduat generat beyond poverti graduat generat beyond poverti,Others,Others,57.74647887323944
240,educ financ financi servic fintech person financ wealth manag educ financ financi servic fintech person financ wealth manag sofi modern financ compani take unpreced approach lend wealth manag social financ sofi financ compani offer rang lend wealth manag servic compani primarili cater early-stag profession offer variabl fix rate parent person mba loan mortgag refinanc base san francisco california compani found april 2011,Others,Others,57.74647887323944
29,micro lend non profit social entrepreneurship micro lend non profit social entrepreneurship zidisha microlend communiti direct connect lender borrow platform zidisha peer-to-p lend servic connect individu lender direct microfin borrow low-incom countri zidisha base convict small-scal entrepreneur develop countri capabl interact respons peer-to-p lender via self-regul web platform without need local intermediari communic manag loan transact behalf though microlend websit allow individu contribut fund toward microloan choic reli local microfin organ communic lender creat loan applic collect repay intermedi microlend platform communic one way borrow often unawar lender fund loan averag intermediari organ add 30 sometim much 100 fee interest loan rais websit cover administr expens high interest rate reduc borrow profit sometim point make poorer receiv loan unlik post microlend platform loan applic comment post zidisha 's loan page written borrow open way dialogu lender borrow lender receiv answer inquiri loan busi direct entrepreneur fund elimin unnecessari intermediari also decreas cost loan averag zidisha borrow pay 8 flat rate annual interest fee includ interest paid lender far rate tradit charg microfin loan develop countri reduc interest cost allow entrepreneur keep profit loan greater impact reduc poverti,Others,Others,57.74647887323944
157,credit financi servic machin learn person financ risk manag credit financi servic machin learn person financ risk manag creditvidya startup analyz data get credit score creditvidya believ power altern data technolog help lender make accur credit decis mission simpl enabl access fair transpar credit 800 million un-scor indian bunch engin sole mission enabl access fair transpar credit 800 million+ un-scor indian tradit method credit asses fail miser india outdat method look repay histori individu give credit score creditvidya har power big data advanc machin learn techniqu re-imagin re-build credit score,Others,Others,57.74647887323944
313,financi servic inform technolog payment financi servic inform technolog payment carecap cloud-bas payment manag system enabl busi provid custom easi custom autom payment plan grow number consum lack abil pay in-ful need good servic point purchas carecap cloud-bas payment manag system enabl busi provid custom easi custom autom way pay time -- e-invo -- subscript -- payment plan,Others,Purchase Financing ,57.74647887323944
197,financi servic financi servic creditm fintech focus use vehicl financ india pos onlin credit distribut creditm fintech focus 8bn cagr 25 use motorcycl market india india world largest two wheeler market 40m new use bike sold day go market via network dealer enabl technolog allow dealer assess process loan insur point sale also oper direct consum websit enabl consum consum transact technolog credit engin mean abl process lend fast current lend 50 new credit 50 self employ borrow lend secur asset addit tech enabl optim collect success built full loan manag system allow lend partner quick effici integr grow team 30 peopl base mumbai india,Others,Others,57.74647887323944
173,analyt big data fintech machin learn analyt big data fintech machin learn zestfinance??? credit-decis platform help lender predict credit risk increas revenu reduc risk ensur complianc zestfin found world??? best data scientist mission use machin learn algorithm revolution credit decis made provid fair transpar credit everyon zest autom machin learn zaml??? platform zest 's uniqu credit-decis platform enabl lender analyz vast amount non-tradit credit data increas approv rate reduc risk credit decis particular thin-fil no-fil borrow like millenni platform also provid abil explain data model result measur busi impact compli regulatori requir,Others,Others,57.74647887323944
338,financ financi servic residenti financ financi servic residenti inc 500 magazin recogn financi servic firm special residenti mortgag refin purchas strive provid best custom experi search home loan whether still process shop alreadi start loan process us work hard earn busi believ busi earn loan close complet satisfi network capit recent name one best place work orang counti fourth annual program creat orang counti busi journal best compani group actual rank publish orang counti busi journal??? special report best place work octob 29 2012 issu orang counti busi journal* proud say employe work hard like support technolog partner oracl redhat microsoft cisco abl provid best class home loan deliveri platform servic client system match best home loan situat alway think way make thing easi even close sign close document electron anywher countri airport live room it??? simpl although invest technolog understand client peopl network capit home loan specialist alway avail answer question home loan specialist among best industri averag eight year mortgag bank experi overal 98 custom satisfact rate dedic home loan specialist deliv promis high qualiti servic pick phone give us call let us prove made best choic lender,Others,Others,57.74647887323944
51,financi servic fintech marketplac peer peer financi servic fintech marketplac peer peer monexo onlin marketplac peer-to-p lend bring togeth lender borrow creat win-win monexo oper onlin peer-to-p lend marketplac small busi employe platform origin borrow lender onlin offlin sale market channel use proprietari screen system review borrow various financi non-financi paramet provid loan offer borrow agre loan offer list marketplac lender view fund allow borrow receiv 48 month futur rental incom subsequ assign rental incom lender launch 2014 monexo oper hong kong china,Personal loans,Personal loans,57.74647887323944
255,consum lend credit financ fintech lend person financ consum lend credit financ fintech lend person financ lend club onlin financi communiti bring togeth creditworthi borrow savvi investor lend club onlin financi communiti bring togeth creditworthi borrow savvi investor benefit financi replac high cost complex bank lend faster smarter way borrow invest,Personal loans,Personal loans,57.74647887323944
226,financi servic fintech mobil payment financi servic fintech mobil payment activehour develop smartphone-bas applic enabl hour worker get paid earli need activehour develop smartphone-bas applic enabl hour worker get paid earli need work android io smartphon recommend hour employe electron timecard system work direct deposit found ram palaniappan 2012 activehour help user avoid overdraft fee high-interest payday loan company??? financi backer includ ribbit capit felici ventur,Personal loans,Personal loans,57.74647887323944
302,financi servic financi servic digilend analyt technolog marketplac enabl individu like avail unsecur person loan digilend marketplac enabl individu like avail unsecur person loan differ need like educ travel holiday wed home improv debt consolid emerg need etc need cash loan bank loan look provid onlin instant quick loan competit interest rate digilend??? endeavour make get loan easier onlin instant credit evalu connect right lender provid everyon easi conveni access credit,Personal loans,Others,57.74647887323944
260,consum lend financi servic consum lend financi servic digit financ platform optim custom experi digit distribut channel manag financi servic provid power venmo ledg simplest way borrow money friend family- automat pay back term choose.you re chariti case re good sometim larg expens come requir littl help ledg make sure never miss beat need littl extra cash,Personal loans,Working Capital ,57.74647887323944
308,ace cash express provid payday loan prepaid debit card cash kind payrol check,Personal loans,Personal loans,57.74647887323944
127,financi servic financi servic cashbus microfin compani cashbus microfin compani establish 2014 headquart shanghai offer small short-term micro instal loan underbank china,Personal loans,Term loans,57.74647887323944
350,financ financ new type internet fintech compani reli power fintech abil provid user inclus financ option samoy financi servic shenzhen samoy internet financi servic ltd. co new type internet fintech compani reli power fintech abil provid user inclus financ option samoy cut consum financ market mean first product `` sheng bei.??? sheng bei provid internet financi servic user credit card manag preferenti card-us guid lower interest rate compens balanc,Personal loans,0,57.74647887323944
143,"financ financi servic fintech impact invest person financ financ financi servic fintech impact invest person financ pave provid millenni access fund need achiev person financi goal pave lend platform millenni want access fund fair rate peopl want see succeed help find fund need achiev person financi goal pave loan base potenti success rather credit histori fico score offer two-to-three-year consum loan educ refinanc exist debt consolid start busi cover live expens borrow abl receiv loan 25,000 person rate start 6 pave fund communiti care provid next generat tool need go ahead life",Personal loans,Personal loans,57.74647887323944
73,analyt consum lend financ financi servic fintech innov manag machin learn person financ analyt consum lend financ financi servic fintech innov manag machin learn person financ argon credit onlin person loan startup current grow u.s. plan expand u.k. europ australia base chicago illinoi argon credit decis engine-bas lend platform prime near-prim borrow seek immedi access onlin person loan platform leverag proprietari algorithm data analyt comb vast array prospective-borrow attribut real time approv disapprov loan applic argon credit found decemb 2013,Personal loans,Personal loans,57.74647887323944
19,crowdfund lend marketplac crowdfund lend marketplac experienc team proven platform address need crowdfund marketplac south america experienc team proven platform address need crowdfund marketplac south america megatrend opportun team bet,Personal loans,Term loans,57.74647887323944
79,advertis e-commerc social media manag advertis e-commerc social media manag puddl social peer-to-p lend marketplac puddl let anyon creat line credit on-the-fli friend puddl first tool credit us anyon use ?? ? base credit score base peopl trust,Personal loans,0,57.74647887323944
209,financi servic fintech financi servic fintech indialend digit lend borrow marketplac indialend digit lend borrow marketplac connect consum small busi look low rate loan institut lender look good return avail web mobil compani also provid value-add servic big-data analyt credit risk assess verif autom work-flow loan origin manag lender borrow appli unsecur person loan onlin get access credit report free manag daili spend via indialend mobil app launch 2015 compani base new delhi india,Personal loans,Others,57.74647887323944
187,financ fintech lend person financ financ fintech lend person financ welab analyz unstructur mobil big data within second make credit decis individu borrow found 2013 hong kong welab reinvent tradit financi servic creat seamless mobil lend experi proprietari risk manag technolog welab effect analyz unstructur mobil big data within second make credit decis individu borrow welab oper wolaidai ?? ? ?????? one china??? lead mobil lend platform welend hong kong??? lead onlin lend platform compani also partner tradit financi institut util welab??? technolog offer fintech-en solut custom welab??? investor includ ck hutchison??? tom group khazanah nasion berhad ing silicon valley-bas ventur capit fund sequoia capit tom group??? ule.com guangdong technolog financi group accord kpmg cb insight fundrais fourth largest fintech deal first quarter 2016 global,Personal loans,Others,57.74647887323944
13,financ financ yatto social fund platform enabl user organ social fund circl use facebook account yatto new social fund platform base trust reput social inner circl yatto let organ social fund circl a.k.a yatto use facebook account invit trust friend famili peer dear one everi particip yatto receiv social fund group differ date make his/her dream come true fulfil person caus famili urgenc educ cost healthcar travel comput kid endeavor worldwid caus etc,Personal loans,Others,57.74647887323944
320,financ financi servic financ financi servic enova provid reliabl real-tim financi option peopl face immedi cash demand enova provid reliabl real-tim financi option everyday hardwork peopl face immedi cash demand global financi resourc under-serv consum oper portfolio busi offer varieti onlin credit product servic one million custom unit state unit kingdom australia canada,Personal loans,Personal loans,57.74647887323944
359,financ financ compani special gimmick hidden cost short term loan swift money?? provid quick conveni effeci short term loan ??1000 appli payday loan swift money?? today receiv instant decis averag accept rate 97.5 loan also bad credit friend carri credit check,Personal loans,Personal loans,57.74647887323944
362,financ financ viainvest peer-to-p marketplac viainvest peer-to-p marketplac privat investor individu legal entiti invest loan origin non-bank lender via sms group subsidiari origin loan portfolio main consist short-term consum loan claim across europ,0,Personal loans,57.74647887323944
