,Test_document,Expected_result,knn_model_8,knn_model_8_accuracy
341,artifici intellig credit lend artifici intellig credit lend optacredit artifici intelligence-pow data-driven onlin lender optacredit artifici intellig power data-driven onlin lender employe work organis partner us driven abil use data underwrit provid short term unsecur loan employe everi elig applic right get access time credit belief base truli understand applic assimil data various sourc ?? ? public privat rather profil within meaningless categori believ applic ratio number uniqu credit servic platform allow firm two prong advantag one provid firm partner us abil unleash true potenti make optimum use work capit two employe welfar scheme avail firm zero cost,Working Capital ,Personal loans,62.16216216216216
77,cloud manag financ fintech health care payment cloud manag financ fintech health care payment primahealth credit reinvent patient financ cloud-bas payment manag financ platform primahealth credit reinvent patient pay out-of-pocket healthcar expens empow healthcar provid cloud-bas payment manag financ platform enabl offer payment solut point-of-car today healthcar provid lack modern intuit point-of-sal payment financ solut patient seek transpar financi product help pay out-of-pocket healthcar expens primahealth credit offer smarter simpler transpar payment solut patient love doctor valu,Personal loans,Personal loans,62.16216216216216
299,clean energi financ fintech renew energi clean energi financ fintech renew energi renew financi found 2008 cisco devri origin idea properti assess clean energi pace financ model renew financi provid financ solut help effici renew energi contractor grow busi promot energi independ aim develop advanc financ design transform america??? economi clean energi company??? financ product includ pace financ model warehous energi effici loan open residenti energi effici financ market larg institut investor found 2008 cisco devri renew financi partnership solarc target small- medium-s busi util pace,Others,Others,62.16216216216216
45,financ publish ventur capit financ publish ventur capit open book ben altern tradit busi credit bureau open book ben altern tradit busi credit bureau build on-lin communiti small medium-s busi `` '' smbs '' '' collabor share creditworthi busi intellig system beta sever financi institut compani use feedback ben democrat access creditworthi type import busi data smbs struggl near everi aspect busi credit exist credit bureaus often fail score smbs accur small firm even show databas sinc afford solut busi credit data smbs suffer huge write off 64 billion last year ben solut problem discuss platform attract altern credit bureaus ben also offer power market lead gen tool also offer greatly-need smb suppli chain tool `` '' vendor worth '' '' score help smbs assess qualiti b2b vendor,Others,Term loans,62.16216216216216
214,financi servic financi servic rupaiya exchang peer-to-p lend platform rupaiya exchang lead peer peer p2p lend marketplac facilit lend connect creditworthi borrow lender across india,Personal loans,Personal loans,62.16216216216216
122,consum lend financi servic fintech consum lend financi servic fintech capzest digit lend platform focus unsecur financ incom generat purpos capzest digit lend platform focus provid unsecur credit individu incom generat purpos secur partnership incom generat servic platform provid short term capit various stakehold use in-hous tech platform autom entir loan disburs collect process proprietari credit engin instant calcul individual??? credit profil take consider 1000 data point,0,Others,62.16216216216216
276,financi servic fintech insur point sale financi servic fintech insur point sale octan lend offer point sale financ insur platform nich consum market octan lend point sale financ platform focus nich consum lend market,Lead generation platform,Others,62.16216216216216
175,financi servic financi servic onlin offlin customis financi servic solut busi lead financi product distributor india focus serv individu smes corpor customers.they decod financi jargon make thing simpl understand consumers.they larg distributor compel presenc onlin offlin focus provid custom accur inform best financi advic consequ appropri product relev need,Lead generation platform,Working Capital ,62.16216216216216
112,"consum lend fintech lend peer peer consum lend fintech lend peer peer weijinsuo peer-to-p lend platform current help shape chines altern financ space base beij china weijinsuo peer-to-p lend platform cover area credit collect assess manag company??? senior manag staff 10 year experi bank manag risk manag industri shape chines altern financ space provid investor averag annual yield around 11.7 36 month lock-up period company??? seri invest round led hna capit group establish 2010 weijinsuo compris 700,000 regist user complet aggreg transact valu 616 million u.s. dollar",Working Capital ,Term loans,62.16216216216216
136,app financi servic app financi servic branch new way access credit smartphon emerg market branch elimin challeng get loan use data phone creat credit score encrypt data choos share us protect privaci share inform third parti,Others,Others,62.16216216216216
239,"big data credit financi servic inform technolog mobil softwar big data credit financi servic inform technolog mobil softwar tala mobil technolog data scienc compani revolution financi servic emerg market tala innov fast-pac mobil technolog start-up provid credit score report platform financi servic institut emerg countri tradit credit n't work emerg market mobil technolog unlock trillion dollar purchas power world??? fastest grow economi tala mobil technolog data scienc compani flip tradit credit score model put power hand newli empow consum emerg market mobil app uniqu channel gather averag 10,000 discret data point per user provid person offer deliv real-tim credit",Others,Others,62.16216216216216
120,e-commerc e-commerc platform marketplac e-commerc e-commerc platform marketplac credit nation india 's lead onlin marketplac provid easi comparison best interest rate loan credit nation india 's lead onlin marketplac provid easi comparison best interest rate loan great custom servic,Lead generation platform,Lead generation platform,62.16216216216216
305,financi servic fintech small medium busi financi servic fintech small medium busi capit float onlin platform provid work capit financ smes india capit float onlin platform provid work capit financ smes india offer flexibl short-term loan use purchas inventori servic new order optim cash cycl borrow appli onlin minut select desir repay term receiv fund bank account 7 day minim hassl,Working Capital ,Working Capital ,62.16216216216216
15,analyt predict analyt servic industri analyt predict analyt servic industri l2c nation 's lead provid advanc consum score analyt solut l2c nation 's lead provid advanc consum score analyt solut l2c leverag altern payment asset data creat new predict credit collect market score 260 million american l2c????????s client includ lead institut financi servic retail healthcar automot telecommun media entertain industri,Others,Others,62.16216216216216
154,crowdfund financ financi servic crowdfund financ financi servic i2ifund onlin marketplac connect borrow look person loan investor look altern invest i2i peer-to-p p2p marketplac connect borrow lender unsecur loan use gamut reason like purchas consum durabl debt consolid i.e repay credit card debt etc medic expens educ expens cash cycl optim etc entir credit process transpar quick easi apart provid end end servic i2i dilig use unconvent data point borrow like educ employ transact salari social network etc sole depend cibil score lend recommend help investor greater understand borrow 's riski lead better credit decis,Personal loans,Personal loans,62.16216216216216
72,financ financi servic small medium busi financ financi servic small medium busi rongzi enabl offlin financi institut provid loan found 2010 shanghai-headquart rongzi enabl offlin financi institut provid loan small medium-s enterpris,Term loans,Working Capital ,62.16216216216216
335,financ financi servic micro lend social entrepreneurship financ financi servic micro lend social entrepreneurship build model relat small sum money enabl thousand peopl move away econom enabl rural individu obtain small loan educ farm busi urban profession certain type busi entrepreneur obtain fund form profit-shar invest rather loan,Others,Others,62.16216216216216
124,fintech person financ fintech person financ offer student loan employ benefit student loan genius help compani reach next level recruit retent student loan genius work improv financi outlook employe student loan empow compani help employe reduc student loan debt company??? fix pay match approach simplifi complex problem associ student loan debt reconnect employ employe help busi grow employe retent recruit offer person advic help employe design custom plan meet goal handl payment payrol implement strategi pay loan provid match contribut toward employees??? student loan student loan genius establish 2013,Others,Others,62.16216216216216
304,fintech payment fintech payment simpl 's mission make money simpl peopl live well amaz thing simpl??? mission make money simpl peopl live well amaz thing simpl??? first product payment option let skip pay repeat instead pay later multipl order one go multipl verif payment failur fumbl chang order arriv,Purchase Financing ,Purchase Financing ,62.16216216216216
142,big data edtech fintech impact invest big data edtech fintech impact invest educ financ marketplac platform high-achiev low-incom student underbank underfund sixup onlin student financ support platform invest high-achiev low-incom student pursuit higher educ career invest student suit wrap-around fund servic design upgrad student school better outcom support graduat job creation compani partner charter school colleg success organ identifi recommend high-potenti student expand option help student upgrad colleg outcom graduat rate social capit job placement also offer annual fund option loan grant student throughout colleg lifecycl reevalu student year base perform compani work close wide rang organ trio upward bound kipp cristo rey genesi work investor compani rethinkeduc acceler ventur wti learncapit sixup u.s.-bas compani found 2015 sunwoo hwang,Others,Others,62.16216216216216
87,bank financ financi servic bank financ financi servic smecorn onlin platform enabl smes access loan easili bank nbfcs smecorn onlin platform enabl small medium enterpris access loan bank nbfcs smecorner.com found samir bhatia sneha shah base mumbai maharashtra,Lead generation platform,Term loans,62.16216216216216
363,chariti chariti graduat generat beyond poverti graduat generat beyond poverti,Others,Others,62.16216216216216
262,lend marketplac peer peer lend marketplac peer peer i-lend india 's first social lend initi bring togeth borrow lender facilit financi transact onlin marketplac bring togeth creditworthi borrow individu lender person loan transact without intervent tradit financi institut like bank borrow appli small loan rs.25k rs.1l 6 month 12 month period interest rate vari 18 24 much lower financi institut lender higher return compar save account fds,Personal loans,Personal loans,62.16216216216216
19,crowdfund lend marketplac crowdfund lend marketplac experienc team proven platform address need crowdfund marketplac south america experienc team proven platform address need crowdfund marketplac south america megatrend opportun team bet,Personal loans,Others,62.16216216216216
322,expans capit group valu partner expans capit solut,Working Capital ,Working Capital ,62.16216216216216
323,financ financi servic lend financ financi servic lend fund wizard marketplac connect busi owner vast network local nation lender investor,Term loans,Term loans,62.16216216216216
261,financi servic fintech financi servic fintech nav bridg gap smb financi institut bring transpar certainti effici b2b credit financ nav.com help busi owner get fund lower cost save time creat busi dream app give free access credit report score specif small busi owner includ busi person credit report also provid cash-flow analysi tool help build busi credit marketplac 100 financ product includ credit card nav 's marketplac use lender-neutr algorithm help busi owner find best financ option need appli compani offic silicon valley salt lake citi,Lead generation platform,Lead generation platform,62.16216216216216
162,e-commerc servic industri shop e-commerc servic industri shop fenqil web-bas onlin shop mall offer wide rang product fenqil web-bas onlin shop mall offer wide rang product mobil phone person comput camera beauti product base shenzhen guangdong china,Purchase Financing ,Purchase Financing ,62.16216216216216
161,e-commerc financi servic payment e-commerc financi servic payment get lowest price leas option latest comput electron applianc furnitur flexshopp provid flexibl easi way get furnitur electron applianc popular brand name good low afford week payment goal get approv leas amount need take home product want dedic provid ultim custom servic experi us smooth begin end transact us confidenti secur relax get approv spend limit go shop enjoy,Purchase Financing ,Purchase Financing ,62.16216216216216
219,credit financi servic fintech credit financi servic fintech mortgag get whole lot easier hi re maxwel we???r mission revolution 8.5t residenti mortgag market reimagin loan offic work togeth homebuy real estat agent buy home connect network one seamless intuitively-design platform focus isn???t paperwork it??? place call home,Lead generation platform,Others,62.16216216216216
258,big data fintech machin learn big data fintech machin learn innov appli machin learn algorithm big data make all-round credit evalu individu smes icekredit inc. fintech compani regist shanghai free trade zone headquart locat lujiazui financi district branch nanj beij guangzhou changzhou chengdu los angel u.s.a. dedic innov appli machin learn algorithm big data relat technolog make all-round credit evalu individu smes icekredit found begin 2015 upon incept compani fund ten million yuan led intern renown ventur capit free capit yunqi partner wei lie capit decemb 2015 icekredit reciev angel fund octob 2016 icekredit obtain round fund present icekredit obtain total invest 160 million yuan product includ smes credit evalu system individu credit assess system consist anti-fraud engin person credit portrait miss custom contact inform restor compani establish busi relationship hundr domest oversea fin-tech tradit financi compani includ unionpay shenma financ neteas small loan taizhou bank fullerton credit subsidiari singapore-bas temasek hold icekredit??? founder- dr.gu lingyun expert appli big data technolog credit evalu individu smes founder head zestfin model team icekredit??? core member high competit background graduat univers chicago purdu univers georgia institut technolog georg washington univers new york univers carnegi mellon univers steven institut technolog etc return china held key posit benchmark fintech tradit financi compani kabbag zestfin lend club capit one discov ge capit barclay icekredit establish busi relationship hundr famous domest oversea fintech tradit financi compani cooper unionpay jieyu unit shenma financ taizhou bank neteas small loan fullerton credit wecash mani compani icekredit becom lead compani appli big data technolog individu sme credit evalu,Others,Others,62.16216216216216
20,e-commerc financi servic lend e-commerc financi servic lend smartbiz loan www.smartbizloans.com uniqu combin onlin sba loan marketplac bank enabl technolog platform smartbiz loan 1 onlin sba loan marketplac small busi loan intellig technolog platform make appli sba loan fast easi increas likelihood approv small busi match borrow sba prefer lend bank like fund particular busi 90 95 loan smartbiz refer bank partner get fund bank partner use smartbiz platform origin underwrit sba loan compliant manner also process loan 70 90 effici base financi district san francisco smartbiz loan privat held compani found 2009 team experienc financi servic entrepreneur back lead ventur capit firm includ investor growth capit venrock first round capit baselin ventur softtech vc,Term loans,Term loans,62.16216216216216
86,crowdfund small medium busi crowdfund small medium busi mission lead communiti capit transform mission lead communiti capit transform investnextdoor creat first community-engag capit marketplac marketplac creat new sourc reason price capit small busi better return main street investor longev community-bas bank credit union focus communiti first amplifi econom effect consum invest small busi keep benefit borrow lifecycl within given communiti educ access transpar fair core valu start investnextdoor believ us borrow invest model broken ve hit reset button start fresh go back basic ve made better ve made social fun impact re brand new kind financi servic compani ve alreadi made thing better,Term loans,Term loans,62.16216216216216
32,financ financi servic home renov financ financi servic home renov cove financi group offer mortgag altern program would-b home buyer qualifi mortag cove financi group inc. creat mortgag altern program would-b home buyer payment qualifi today mortgag,Others,Others,62.16216216216216
8,financ fintech financ fintech lendinero compani provid short term alternative-fund small medium size exist busi lendinero ventur capit firm provid short-term fund solut smes ancillari servic assist client view manag account cloud addit firm offer rang financi solut smes includ lendireno loan merchant cash advanc loan sba loan addit firm also carri advisori servic assist client obtain financ lendinero found 2011 gil zapata base florida,Term loans,Term loans,62.16216216216216
232,financi servic financi servic tempo found 2009 one man employe spent countless hour creat new way peopl take merchandis tempo found 2009 one man employe spent countless hour creat new way peopl take merchandis home simpl approv process credit requir tempo grown home basement oper multi-offic nation provid credit requir shop sever payment option,Purchase Financing ,Others,62.16216216216216
